,Cluster,Motif,Influe
330,Endothelial,Motif_57,0.79397935
331,Epithelial,Motif_57,0.07222604
332,Erythroid,Motif_57,-0.59318966
333,Germ,Motif_57,0.19964992
334,Hepatocyte,Motif_57,-0.66152656
335,Immune,Motif_57,-0.34276474
336,Muscle,Motif_57,0.3763713
337,Neuron,Motif_57,0.8542444
338,Proliferating,Motif_57,-0.78131855
339,Secretory,Motif_57,-0.10783877
340,Stromal,Motif_57,0.64737487
341,Endothelial,Motif_59,-0.7793878
342,Epithelial,Motif_59,0.0032530257
343,Erythroid,Motif_59,0.5448723
344,Germ,Motif_59,-0.18980308
345,Hepatocyte,Motif_59,0.6059462
346,Immune,Motif_59,0.24523139
347,Muscle,Motif_59,-0.26000246
348,Neuron,Motif_59,-0.8334734
349,Proliferating,Motif_59,0.7977678
350,Secretory,Motif_59,0.10743646
351,Stromal,Motif_59,-0.5071642
352,Endothelial,Motif_60,-0.005362177
353,Epithelial,Motif_60,-0.005362177
354,Erythroid,Motif_60,-0.0048217936
355,Germ,Motif_60,-0.005362177
356,Hepatocyte,Motif_60,-0.005362177
357,Immune,Motif_60,-0.005362177
358,Muscle,Motif_60,-0.005362177
359,Neuron,Motif_60,-0.005362177
360,Proliferating,Motif_60,-0.005362177
361,Secretory,Motif_60,-0.005362177
362,Stromal,Motif_60,-0.005362177
363,Endothelial,Motif_61,0.72277826
364,Epithelial,Motif_61,0.075908765
365,Erythroid,Motif_61,-0.46558458
366,Germ,Motif_61,0.4284853
367,Hepatocyte,Motif_61,-0.7103145
368,Immune,Motif_61,-0.42255026
369,Muscle,Motif_61,0.29943916
370,Neuron,Motif_61,1.0418268
371,Proliferating,Motif_61,-0.8731974
372,Secretory,Motif_61,-0.18795317
373,Stromal,Motif_61,0.646128
374,Endothelial,Motif_62,-1.204222
375,Epithelial,Motif_62,-0.008054469
376,Erythroid,Motif_62,1.057116
377,Germ,Motif_62,0.34231094
378,Hepatocyte,Motif_62,-0.30001867
379,Immune,Motif_62,-0.35997078
380,Muscle,Motif_62,-0.51393205
381,Neuron,Motif_62,-0.32727066
382,Proliferating,Motif_62,0.94579357
383,Secretory,Motif_62,-0.4430544
384,Stromal,Motif_62,-0.3474561
385,Endothelial,Motif_63,-0.5153016
386,Epithelial,Motif_63,-0.10945957
387,Erythroid,Motif_63,0.40105453
388,Germ,Motif_63,0.09761194
389,Hepatocyte,Motif_63,0.8252442
390,Immune,Motif_63,0.59581006
391,Muscle,Motif_63,-0.3329798
392,Neuron,Motif_63,-0.9008919
393,Proliferating,Motif_63,0.3481829
394,Secretory,Motif_63,0.2044066
395,Stromal,Motif_63,-0.60075057
396,Endothelial,Motif_64,-0.56270766
397,Epithelial,Motif_64,0.03764688
398,Erythroid,Motif_64,0.32105023
399,Germ,Motif_64,-0.028070573
400,Hepatocyte,Motif_64,0.96117204
401,Immune,Motif_64,0.36656207
402,Muscle,Motif_64,-0.1316806
403,Neuron,Motif_64,-0.80093575
404,Proliferating,Motif_64,0.6290885
405,Secretory,Motif_64,0.27238637
406,Stromal,Motif_64,-0.5065834
407,Endothelial,Motif_65,-0.00581699
408,Epithelial,Motif_65,-0.0055507547
409,Erythroid,Motif_65,-0.00581699
410,Germ,Motif_65,-0.00581699
411,Hepatocyte,Motif_65,-0.00581699
412,Immune,Motif_65,-0.005145868
413,Muscle,Motif_65,-0.00581699
414,Neuron,Motif_65,-0.00581699
415,Proliferating,Motif_65,-0.00581699
416,Secretory,Motif_65,-0.00581699
417,Stromal,Motif_65,-0.00581699
418,Endothelial,Motif_68,0.8413398
419,Epithelial,Motif_68,0.10436792
420,Erythroid,Motif_68,-0.5417544
421,Germ,Motif_68,0.4502331
422,Hepatocyte,Motif_68,-0.66588485
423,Immune,Motif_68,-0.48671612
424,Muscle,Motif_68,0.4967058
425,Neuron,Motif_68,1.037783
426,Proliferating,Motif_68,-0.9062819
427,Secretory,Motif_68,-0.101546004
428,Stromal,Motif_68,0.7022024
429,Endothelial,Motif_70,-0.8977542
430,Epithelial,Motif_70,-0.036126185
431,Erythroid,Motif_70,0.60914314
432,Germ,Motif_70,-0.13498445
433,Hepatocyte,Motif_70,0.57448596
434,Immune,Motif_70,0.27776223
435,Muscle,Motif_70,-0.48323992
436,Neuron,Motif_70,-0.9364306
437,Proliferating,Motif_70,0.9676309
438,Secretory,Motif_70,0.050329868
439,Stromal,Motif_70,-0.58785564
440,Endothelial,Motif_71,0.17888461
441,Epithelial,Motif_71,-0.13593769
442,Erythroid,Motif_71,-0.26671556
443,Germ,Motif_71,0.2967526
444,Hepatocyte,Motif_71,-0.46050176
445,Immune,Motif_71,-0.5214443
446,Muscle,Motif_71,0.22863974
447,Neuron,Motif_71,1.1981852
448,Proliferating,Motif_71,-0.66281503
449,Secretory,Motif_71,-0.29127705
450,Stromal,Motif_71,0.5233528
451,Endothelial,Motif_72,0.932669
452,Epithelial,Motif_72,0.18068327
453,Erythroid,Motif_72,-0.7824424
454,Germ,Motif_72,-0.051452328
455,Hepatocyte,Motif_72,-0.5178885
456,Immune,Motif_72,-0.3554814
457,Muscle,Motif_72,0.56052864
458,Neuron,Motif_72,0.86669874
459,Proliferating,Motif_72,-0.72124517
460,Secretory,Motif_72,0.03970711
461,Stromal,Motif_72,0.6790434
462,Endothelial,Motif_74,0.60895884
463,Epithelial,Motif_74,-0.14856884
464,Erythroid,Motif_74,-0.31774342
465,Germ,Motif_74,0.70350164
466,Hepatocyte,Motif_74,0.41826007
467,Immune,Motif_74,0.53275424
468,Muscle,Motif_74,-0.13351582
469,Neuron,Motif_74,-0.08308427
470,Proliferating,Motif_74,-0.8928592
471,Secretory,Motif_74,0.1596361
472,Stromal,Motif_74,-0.06919454
473,Endothelial,Motif_75,-0.020681007
474,Epithelial,Motif_75,-0.020681007
475,Erythroid,Motif_75,-0.020681007
476,Germ,Motif_75,-0.020681007
477,Hepatocyte,Motif_75,-0.020681007
478,Immune,Motif_75,-0.020681007
479,Muscle,Motif_75,-0.020681007
480,Neuron,Motif_75,-0.020681007
481,Proliferating,Motif_75,-0.01987827
482,Secretory,Motif_75,-0.020681007
483,Stromal,Motif_75,-0.0150324525
484,Endothelial,Motif_76,0.4592549
485,Epithelial,Motif_76,0.027046436
486,Erythroid,Motif_76,-0.1329423
487,Germ,Motif_76,0.8022454
488,Hepatocyte,Motif_76,-0.8956245
489,Immune,Motif_76,-0.604982
490,Muscle,Motif_76,0.1454727
491,Neuron,Motif_76,1.1548976
492,Proliferating,Motif_76,-0.7529264
493,Secretory,Motif_76,-0.42285082
494,Stromal,Motif_76,0.6289588
495,Endothelial,Motif_77,0.5633023
496,Epithelial,Motif_77,0.007839629
497,Erythroid,Motif_77,-0.28770262
498,Germ,Motif_77,0.6488957
499,Hepatocyte,Motif_77,-0.81528395
500,Immune,Motif_77,-0.3967944
501,Muscle,Motif_77,0.11254275
502,Neuron,Motif_77,0.9437091
503,Proliferating,Motif_77,-0.7572707
504,Secretory,Motif_77,-0.2945109
505,Stromal,Motif_77,0.5597163
506,Endothelial,Motif_78,-0.24270082
507,Epithelial,Motif_78,-0.02249202
508,Erythroid,Motif_78,-0.055221815
509,Germ,Motif_78,-0.2933289
510,Hepatocyte,Motif_78,1.0982541
511,Immune,Motif_78,0.71737236
512,Muscle,Motif_78,-0.110129856
513,Neuron,Motif_78,-0.9687855
514,Proliferating,Motif_78,0.37024146
515,Secretory,Motif_78,0.42878556
516,Stromal,Motif_78,-0.54104835
517,Endothelial,Motif_81,-0.98779523
518,Epithelial,Motif_81,-0.06635611
519,Erythroid,Motif_81,0.7112668
520,Germ,Motif_81,-0.06599685
521,Hepatocyte,Motif_81,0.32921
522,Immune,Motif_81,0.15847428
523,Muscle,Motif_81,-0.42985988
524,Neuron,Motif_81,-0.7992689
525,Proliferating,Motif_81,0.9708999
526,Secretory,Motif_81,-0.07925258
527,Stromal,Motif_81,-0.52143526
528,Endothelial,Motif_83,0.0756355
529,Epithelial,Motif_83,0.053346287
530,Erythroid,Motif_83,-0.61077416
531,Germ,Motif_83,-0.5513244
532,Hepatocyte,Motif_83,0.8225428
533,Immune,Motif_83,0.6718964
534,Muscle,Motif_83,0.07622418
535,Neuron,Motif_83,-0.96643585
536,Proliferating,Motif_83,0.53243613
537,Secretory,Motif_83,0.57446814
538,Stromal,Motif_83,-0.3090338
539,Endothelial,Motif_84,-0.31665856
540,Epithelial,Motif_84,-0.06428883
541,Erythroid,Motif_84,0.17472675
542,Germ,Motif_84,-0.27345926
543,Hepatocyte,Motif_84,1.0193135
544,Immune,Motif_84,0.75929195
545,Muscle,Motif_84,-0.21042602
546,Neuron,Motif_84,-1.055131
547,Proliferating,Motif_84,0.20676926
548,Secretory,Motif_84,0.35831472
549,Stromal,Motif_84,-0.61413395
550,Endothelial,Motif_85,0.72708595
551,Epithelial,Motif_85,0.05332184
552,Erythroid,Motif_85,-0.56312776
553,Germ,Motif_85,0.43488863
554,Hepatocyte,Motif_85,-0.46158138
555,Immune,Motif_85,-0.124440335
556,Muscle,Motif_85,0.19640149
557,Neuron,Motif_85,0.5373331
558,Proliferating,Motif_85,-0.6553198
559,Secretory,Motif_85,-0.041632686
560,Stromal,Motif_85,0.46511528
561,Endothelial,Motif_90,-0.8125241
562,Epithelial,Motif_90,-0.01598479
563,Erythroid,Motif_90,0.6253386
564,Germ,Motif_90,-0.48328
565,Hepatocyte,Motif_90,0.53921723
566,Immune,Motif_90,0.19173263
567,Muscle,Motif_90,-0.2660345
568,Neuron,Motif_90,-0.85560715
569,Proliferating,Motif_90,0.9939315
570,Secretory,Motif_90,0.10491051
571,Stromal,Motif_90,-0.6843548
572,Endothelial,Motif_93,-0.34733507
573,Epithelial,Motif_93,0.07394197
574,Erythroid,Motif_93,-0.23557341
575,Germ,Motif_93,-0.7404772
576,Hepatocyte,Motif_93,0.89772147
577,Immune,Motif_93,0.61283875
578,Muscle,Motif_93,-0.081272975
579,Neuron,Motif_93,-1.1496788
580,Proliferating,Motif_93,0.87835103
581,Secretory,Motif_93,0.4599855
582,Stromal,Motif_93,-0.48981217
583,Endothelial,Motif_95,0.8625951
584,Epithelial,Motif_95,3.7484324e-06
585,Erythroid,Motif_95,-0.86861706
586,Germ,Motif_95,-0.34147978
587,Hepatocyte,Motif_95,0.4285061
588,Immune,Motif_95,0.6981712
589,Muscle,Motif_95,0.13148664
590,Neuron,Motif_95,-0.29788306
591,Proliferating,Motif_95,-0.5819716
592,Secretory,Motif_95,0.38700703
593,Stromal,Motif_95,-0.008441968
594,Endothelial,Motif_98,-0.6980099
595,Epithelial,Motif_98,-0.07674465
596,Erythroid,Motif_98,0.61082184
597,Germ,Motif_98,-0.55760664
598,Hepatocyte,Motif_98,0.48462352
599,Immune,Motif_98,0.13123259
600,Muscle,Motif_98,-0.20450531
601,Neuron,Motif_98,-0.7159705
602,Proliferating,Motif_98,0.92555314
603,Secretory,Motif_98,0.09403284
604,Stromal,Motif_98,-0.65437126
