,Cluster,Motif,Influe
349,Proliferating,Motif_36,0.39357
350,Secretory,Motif_36,0.39494452
351,Stromal,Motif_36,0.2167256
352,Endothelial,Motif_37,-0.40816456
353,Epithelial,Motif_37,-0.4028306
354,Erythroid,Motif_37,-0.3508273
355,Germ,Motif_37,-0.25337145
356,Hepatocyte,Motif_37,-0.40791076
357,Immune,Motif_37,-0.40208682
358,Muscle,Motif_37,-0.16035782
359,Neuron,Motif_37,0.9828587
360,Proliferating,Motif_37,1.2243786
361,Secretory,Motif_37,-0.40816456
362,Stromal,Motif_37,-0.24137986
363,Endothelial,Motif_38,0.17947853
364,Epithelial,Motif_38,0.4375804
365,Erythroid,Motif_38,0.72935134
366,Germ,Motif_38,1.6571634
367,Hepatocyte,Motif_38,-0.44306058
368,Immune,Motif_38,0.14960691
369,Muscle,Motif_38,-0.13873824
370,Neuron,Motif_38,-0.83474934
371,Proliferating,Motif_38,-0.9412054
372,Secretory,Motif_38,1.3208625
373,Stromal,Motif_38,-0.19000246
374,Endothelial,Motif_39,-0.055582777
375,Epithelial,Motif_39,-0.05529108
376,Erythroid,Motif_39,0.09124456
377,Germ,Motif_39,0.08716844
378,Hepatocyte,Motif_39,-0.055582777
379,Immune,Motif_39,-0.055461477
380,Muscle,Motif_39,-0.052778434
381,Neuron,Motif_39,-0.055582777
382,Proliferating,Motif_39,-0.055582777
383,Secretory,Motif_39,-0.049808666
384,Stromal,Motif_39,-0.055582777
385,Endothelial,Motif_40,-0.32712412
386,Epithelial,Motif_40,-0.19553848
387,Erythroid,Motif_40,-0.30415073
388,Germ,Motif_40,-0.32712412
389,Hepatocyte,Motif_40,-0.29713237
390,Immune,Motif_40,-0.16287863
391,Muscle,Motif_40,-0.14088644
392,Neuron,Motif_40,0.6011072
393,Proliferating,Motif_40,0.33531782
394,Secretory,Motif_40,-0.32712412
395,Stromal,Motif_40,-0.26242515
396,Endothelial,Motif_41,-0.004472136
397,Epithelial,Motif_41,-0.004472136
398,Erythroid,Motif_41,-0.004472136
399,Germ,Motif_41,-0.003742972
400,Hepatocyte,Motif_41,-0.004472136
401,Immune,Motif_41,-0.004472136
402,Muscle,Motif_41,-0.004472136
403,Neuron,Motif_41,-0.004472136
404,Proliferating,Motif_41,-0.004472136
405,Secretory,Motif_41,-0.004472136
406,Stromal,Motif_41,-0.004472136
407,Endothelial,Motif_43,-0.53526855
408,Epithelial,Motif_43,-0.5318106
409,Erythroid,Motif_43,-0.5444151
410,Germ,Motif_43,-0.5444151
411,Hepatocyte,Motif_43,-0.5444151
412,Immune,Motif_43,-0.5444151
413,Muscle,Motif_43,0.068524465
414,Neuron,Motif_43,1.5324761
415,Proliferating,Motif_43,1.591618
416,Secretory,Motif_43,-0.5444151
417,Stromal,Motif_43,0.03277655
418,Endothelial,Motif_44,-0.1169059
419,Epithelial,Motif_44,-0.20142494
420,Erythroid,Motif_44,-0.11660846
421,Germ,Motif_44,0.48626304
422,Hepatocyte,Motif_44,-0.5376049
423,Immune,Motif_44,-0.36195472
424,Muscle,Motif_44,-0.16992232
425,Neuron,Motif_44,1.2121284
426,Proliferating,Motif_44,0.3234986
427,Secretory,Motif_44,0.4140594
428,Stromal,Motif_44,-0.419155
429,Endothelial,Motif_46,0.29147437
430,Epithelial,Motif_46,0.03721123
431,Erythroid,Motif_46,-0.8974811
432,Germ,Motif_46,-1.996107
433,Hepatocyte,Motif_46,0.504396
434,Immune,Motif_46,0.4885574
435,Muscle,Motif_46,0.119985275
436,Neuron,Motif_46,-0.036280956
437,Proliferating,Motif_46,-0.05226106
438,Secretory,Motif_46,-0.4931578
439,Stromal,Motif_46,0.3734726
440,Endothelial,Motif_49,-0.34511575
441,Epithelial,Motif_49,-0.3019522
442,Erythroid,Motif_49,-0.60841024
443,Germ,Motif_49,-1.7626995
444,Hepatocyte,Motif_49,0.7830268
445,Immune,Motif_49,0.036093634
446,Muscle,Motif_49,-0.03753852
447,Neuron,Motif_49,0.4086146
448,Proliferating,Motif_49,0.7677531
449,Secretory,Motif_49,-1.3318142
450,Stromal,Motif_49,-0.15013936
451,Endothelial,Motif_50,0.051507708
452,Epithelial,Motif_50,0.5864526
453,Erythroid,Motif_50,0.9266454
454,Germ,Motif_50,1.6762699
455,Hepatocyte,Motif_50,-0.16393209
456,Immune,Motif_50,0.3009373
457,Muscle,Motif_50,-0.24330743
458,Neuron,Motif_50,-1.125611
459,Proliferating,Motif_50,-1.1679487
460,Secretory,Motif_50,0.8640487
461,Stromal,Motif_50,-0.43398514
462,Endothelial,Motif_51,-0.2308667
463,Epithelial,Motif_51,-0.22679709
464,Erythroid,Motif_51,-0.2308667
465,Germ,Motif_51,-0.23005518
466,Hepatocyte,Motif_51,-0.2308667
467,Immune,Motif_51,-0.2308667
468,Muscle,Motif_51,-0.2059112
469,Neuron,Motif_51,0.6765896
470,Proliferating,Motif_51,-0.23055643
471,Secretory,Motif_51,-0.2308667
472,Stromal,Motif_51,-0.22150795
473,Endothelial,Motif_52,0.3609244
474,Epithelial,Motif_52,-0.31502777
475,Erythroid,Motif_52,0.37734905
476,Germ,Motif_52,1.5025504
477,Hepatocyte,Motif_52,-0.56949466
478,Immune,Motif_52,-0.5027127
479,Muscle,Motif_52,0.18153009
480,Neuron,Motif_52,0.2997141
481,Proliferating,Motif_52,0.1254304
482,Secretory,Motif_52,0.47013417
483,Stromal,Motif_52,0.33333272
484,Endothelial,Motif_53,-0.43862167
485,Epithelial,Motif_53,-0.5938314
486,Erythroid,Motif_53,-0.647006
487,Germ,Motif_53,-0.69619334
488,Hepatocyte,Motif_53,-0.2886075
489,Immune,Motif_53,-0.513047
490,Muscle,Motif_53,0.06793837
491,Neuron,Motif_53,1.3111765
492,Proliferating,Motif_53,1.3349979
493,Secretory,Motif_53,-0.6923135
494,Stromal,Motif_53,0.31077692
495,Endothelial,Motif_54,-0.84475005
496,Epithelial,Motif_54,-0.67035645
497,Erythroid,Motif_54,-0.018882148
498,Germ,Motif_54,-0.3592529
499,Hepatocyte,Motif_54,0.5360425
500,Immune,Motif_54,0.35555917
501,Muscle,Motif_54,-0.4649192
502,Neuron,Motif_54,0.6600101
503,Proliferating,Motif_54,1.033212
504,Secretory,Motif_54,-0.5993553
505,Stromal,Motif_54,-0.7187636
506,Endothelial,Motif_55,-0.00793594
507,Epithelial,Motif_55,-0.00793594
508,Erythroid,Motif_55,-0.00793594
509,Germ,Motif_55,-0.0035533954
510,Hepatocyte,Motif_55,-0.00793594
511,Immune,Motif_55,-0.00793594
512,Muscle,Motif_55,-0.00793594
513,Neuron,Motif_55,-0.00793594
514,Proliferating,Motif_55,-0.00793594
515,Secretory,Motif_55,-0.00793594
516,Stromal,Motif_55,-0.00793594
517,Endothelial,Motif_57,-0.08089539
518,Epithelial,Motif_57,0.15746927
519,Erythroid,Motif_57,-0.38584158
520,Germ,Motif_57,-1.5967691
521,Hepatocyte,Motif_57,0.55785125
522,Immune,Motif_57,0.34163454
523,Muscle,Motif_57,-0.095079884
524,Neuron,Motif_57,0.018733775
525,Proliferating,Motif_57,0.13339055
526,Secretory,Motif_57,-0.68332285
527,Stromal,Motif_57,-0.1677282
528,Endothelial,Motif_58,-0.63510865
529,Epithelial,Motif_58,-0.32431003
530,Erythroid,Motif_58,-0.773518
531,Germ,Motif_58,-1.9981543
532,Hepatocyte,Motif_58,0.94601774
533,Immune,Motif_58,0.36180893
534,Muscle,Motif_58,-0.16865481
535,Neuron,Motif_58,0.09193334
536,Proliferating,Motif_58,0.34855807
537,Secretory,Motif_58,-1.381702
538,Stromal,Motif_58,-0.28472775
539,Endothelial,Motif_59,0.64924544
540,Epithelial,Motif_59,-0.48149952
541,Erythroid,Motif_59,0.0014436045
542,Germ,Motif_59,0.8849548
543,Hepatocyte,Motif_59,-0.7249628
544,Immune,Motif_59,-0.91897774
545,Muscle,Motif_59,0.49476045
546,Neuron,Motif_59,1.121638
547,Proliferating,Motif_59,1.1564391
548,Secretory,Motif_59,-0.16253985
549,Stromal,Motif_59,0.78255343
550,Endothelial,Motif_60,-0.24338149
551,Epithelial,Motif_60,-0.24053058
552,Erythroid,Motif_60,-0.24338149
553,Germ,Motif_60,-0.17168088
554,Hepatocyte,Motif_60,-0.24338149
555,Immune,Motif_60,-0.24338149
556,Muscle,Motif_60,-0.21394314
557,Neuron,Motif_60,0.7931571
558,Proliferating,Motif_60,-0.23341109
559,Secretory,Motif_60,-0.24338149
560,Stromal,Motif_60,-0.24324577
561,Endothelial,Motif_61,-0.08639715
562,Epithelial,Motif_61,-0.084851205
563,Erythroid,Motif_61,0.21165958
564,Germ,Motif_61,0.24522674
565,Hepatocyte,Motif_61,-0.08639715
566,Immune,Motif_61,-0.082685396
567,Muscle,Motif_61,-0.08212758
568,Neuron,Motif_61,-0.08535166
569,Proliferating,Motif_61,-0.08639715
570,Secretory,Motif_61,-0.080536485
571,Stromal,Motif_61,-0.08530054
572,Endothelial,Motif_62,-0.010675332
573,Epithelial,Motif_62,-0.010247346
574,Erythroid,Motif_62,-0.010675332
575,Germ,Motif_62,-0.010675332
576,Hepatocyte,Motif_62,-0.010675332
577,Immune,Motif_62,-0.0099140005
578,Muscle,Motif_62,-0.009303793
579,Neuron,Motif_62,-0.010675332
580,Proliferating,Motif_62,-0.010675332
581,Secretory,Motif_62,-0.010675332
582,Stromal,Motif_62,-0.010675332
583,Endothelial,Motif_63,0.2464989
584,Epithelial,Motif_63,0.47325358
585,Erythroid,Motif_63,0.23173
586,Germ,Motif_63,0.47720453
587,Hepatocyte,Motif_63,-0.028034907
588,Immune,Motif_63,0.19901522
589,Muscle,Motif_63,-0.024238128
590,Neuron,Motif_63,-0.54401267
591,Proliferating,Motif_63,-0.46959248
592,Secretory,Motif_63,0.46258304
593,Stromal,Motif_63,-0.14811024
594,Endothelial,Motif_64,-0.099744864
595,Epithelial,Motif_64,-0.08984767
596,Erythroid,Motif_64,0.29592058
597,Germ,Motif_64,0.26399136
598,Hepatocyte,Motif_64,-0.099744864
599,Immune,Motif_64,-0.069838345
600,Muscle,Motif_64,-0.09544798
601,Neuron,Motif_64,-0.098128684
602,Proliferating,Motif_64,-0.099744864
603,Secretory,Motif_64,-0.045332495
604,Stromal,Motif_64,-0.09461684
605,Endothelial,Motif_65,-0.07242444
606,Epithelial,Motif_65,-0.07134664
607,Erythroid,Motif_65,0.13509715
608,Germ,Motif_65,0.1716768
609,Hepatocyte,Motif_65,-0.07242444
610,Immune,Motif_65,-0.06989062
611,Muscle,Motif_65,-0.06818347
