,Celltype,Motif,Influe
169,Zebrafish21,Motif_3,-0.1296935
170,Zebrafish22,Motif_3,1.1362888
171,Zebrafish23,Motif_3,-0.40393183
172,Zebrafish25,Motif_3,-0.7071933
173,Zebrafish26,Motif_3,0.05278712
174,Zebrafish27,Motif_3,0.6566641
175,Zebrafish28,Motif_3,-0.410318
176,Zebrafish29,Motif_3,-0.5588021
177,Zebrafish3,Motif_3,0.90128684
178,Zebrafish31,Motif_3,-0.39890048
179,Zebrafish32,Motif_3,-0.4727921
180,Zebrafish33,Motif_3,-0.6144745
181,Zebrafish34,Motif_3,-0.036660563
182,Zebrafish35,Motif_3,-0.15407367
183,Zebrafish36,Motif_3,0.10495297
184,Zebrafish38,Motif_3,0.6427363
185,Zebrafish39,Motif_3,-0.14867072
186,Zebrafish4,Motif_3,-0.3925397
187,Zebrafish42,Motif_3,-0.6144788
188,Zebrafish43,Motif_3,0.4103569
189,Zebrafish44,Motif_3,0.58148366
190,Zebrafish45,Motif_3,0.52095413
191,Zebrafish46,Motif_3,0.16854638
192,Zebrafish47,Motif_3,0.066972055
193,Zebrafish48,Motif_3,0.22277874
194,Zebrafish49,Motif_3,1.2405055
195,Zebrafish5,Motif_3,-0.39860213
196,Zebrafish50,Motif_3,-0.22256981
197,Zebrafish51,Motif_3,-0.32190683
198,Zebrafish52,Motif_3,-0.519468
199,Zebrafish53,Motif_3,-0.59496015
200,Zebrafish54,Motif_3,0.7995687
201,Zebrafish55,Motif_3,-0.16356632
202,Zebrafish57,Motif_3,0.05499066
203,Zebrafish58,Motif_3,-0.21166533
204,Zebrafish59,Motif_3,0.5453098
205,Zebrafish6,Motif_3,-0.36688045
206,Zebrafish60,Motif_3,0.8640359
207,Zebrafish61,Motif_3,-0.45284858
208,Zebrafish62,Motif_3,0.14084062
209,Zebrafish63,Motif_3,-0.31989342
210,Zebrafish64,Motif_3,0.13536851
211,Zebrafish65,Motif_3,0.9883703
212,Zebrafish66,Motif_3,-0.3653251
213,Zebrafish67,Motif_3,0.079461314
214,Zebrafish68,Motif_3,0.3917873
215,Zebrafish69,Motif_3,-0.36614728
