,Celltype,Motif,Influe
421,Zebrafish71,Motif_8,0.0
422,Zebrafish77,Motif_8,0.0
423,Zebrafish78,Motif_8,0.0
424,Zebrafish8,Motif_8,0.0
425,Zebrafish80,Motif_8,0.0
426,Zebrafish83,Motif_8,1.0
427,Zebrafish84,Motif_8,0.0
428,Zebrafish85,Motif_8,0.0
429,Zebrafish86,Motif_8,1.0
430,Zebrafish87,Motif_8,1.0
431,Zebrafish9,Motif_8,0.0
432,Zebrafish1,Motif_9,0.0
433,Zebrafish10,Motif_9,0.0
434,Zebrafish13,Motif_9,0.0
435,Zebrafish14,Motif_9,0.0
436,Zebrafish15,Motif_9,1.0
437,Zebrafish17,Motif_9,0.0
438,Zebrafish2,Motif_9,0.0
439,Zebrafish20,Motif_9,0.0
440,Zebrafish21,Motif_9,0.0
441,Zebrafish22,Motif_9,0.0
442,Zebrafish23,Motif_9,0.0
443,Zebrafish25,Motif_9,0.0
444,Zebrafish26,Motif_9,0.0
445,Zebrafish28,Motif_9,0.0
446,Zebrafish29,Motif_9,0.0
447,Zebrafish31,Motif_9,0.0
448,Zebrafish32,Motif_9,0.0
449,Zebrafish33,Motif_9,0.0
450,Zebrafish36,Motif_9,0.0
451,Zebrafish39,Motif_9,0.0
452,Zebrafish4,Motif_9,0.0
453,Zebrafish42,Motif_9,0.0
454,Zebrafish43,Motif_9,0.0
455,Zebrafish44,Motif_9,0.0
456,Zebrafish46,Motif_9,0.0
457,Zebrafish47,Motif_9,0.0
458,Zebrafish49,Motif_9,0.0
459,Zebrafish5,Motif_9,0.0
460,Zebrafish50,Motif_9,0.0
461,Zebrafish52,Motif_9,0.0
462,Zebrafish53,Motif_9,0.0
463,Zebrafish54,Motif_9,0.0
464,Zebrafish55,Motif_9,0.0
465,Zebrafish58,Motif_9,0.0
466,Zebrafish59,Motif_9,0.0
467,Zebrafish6,Motif_9,0.0
468,Zebrafish61,Motif_9,0.0
469,Zebrafish63,Motif_9,0.0
470,Zebrafish65,Motif_9,0.0
471,Zebrafish68,Motif_9,0.0
472,Zebrafish69,Motif_9,0.0
473,Zebrafish7,Motif_9,0.0
474,Zebrafish70,Motif_9,0.0
475,Zebrafish71,Motif_9,0.0
476,Zebrafish77,Motif_9,0.0
477,Zebrafish78,Motif_9,0.0
478,Zebrafish8,Motif_9,0.0
479,Zebrafish80,Motif_9,0.0
480,Zebrafish83,Motif_9,0.0
481,Zebrafish84,Motif_9,0.0
482,Zebrafish85,Motif_9,0.0
483,Zebrafish86,Motif_9,0.0
484,Zebrafish87,Motif_9,0.0
485,Zebrafish9,Motif_9,0.0
486,Zebrafish1,Motif_10,0.0
487,Zebrafish10,Motif_10,1.0
488,Zebrafish13,Motif_10,0.0
489,Zebrafish14,Motif_10,1.0
490,Zebrafish15,Motif_10,1.0
491,Zebrafish17,Motif_10,0.0
492,Zebrafish2,Motif_10,1.0
493,Zebrafish20,Motif_10,0.0
494,Zebrafish21,Motif_10,0.0
495,Zebrafish22,Motif_10,0.0
496,Zebrafish23,Motif_10,1.0
497,Zebrafish25,Motif_10,0.0
498,Zebrafish26,Motif_10,0.0
499,Zebrafish28,Motif_10,0.0
500,Zebrafish29,Motif_10,0.0
501,Zebrafish31,Motif_10,0.0
502,Zebrafish32,Motif_10,0.0
503,Zebrafish33,Motif_10,0.0
504,Zebrafish36,Motif_10,0.0
505,Zebrafish39,Motif_10,0.0
506,Zebrafish4,Motif_10,0.0
507,Zebrafish42,Motif_10,0.0
508,Zebrafish43,Motif_10,0.0
509,Zebrafish44,Motif_10,0.0
510,Zebrafish46,Motif_10,0.0
511,Zebrafish47,Motif_10,0.0
512,Zebrafish49,Motif_10,0.0
513,Zebrafish5,Motif_10,0.0
514,Zebrafish50,Motif_10,0.0
515,Zebrafish52,Motif_10,0.0
516,Zebrafish53,Motif_10,0.0
517,Zebrafish54,Motif_10,1.0
518,Zebrafish55,Motif_10,1.0
519,Zebrafish58,Motif_10,1.0
520,Zebrafish59,Motif_10,1.0
521,Zebrafish6,Motif_10,0.0
522,Zebrafish61,Motif_10,0.0
523,Zebrafish63,Motif_10,0.0
524,Zebrafish65,Motif_10,1.0
525,Zebrafish68,Motif_10,0.0
526,Zebrafish69,Motif_10,1.0
527,Zebrafish7,Motif_10,0.0
528,Zebrafish70,Motif_10,0.0
529,Zebrafish71,Motif_10,1.0
530,Zebrafish77,Motif_10,1.0
531,Zebrafish78,Motif_10,1.0
532,Zebrafish8,Motif_10,0.0
533,Zebrafish80,Motif_10,0.0
534,Zebrafish83,Motif_10,0.0
535,Zebrafish84,Motif_10,0.0
536,Zebrafish85,Motif_10,0.0
537,Zebrafish86,Motif_10,0.0
538,Zebrafish87,Motif_10,1.0
539,Zebrafish9,Motif_10,1.0
540,Zebrafish1,Motif_11,0.0
541,Zebrafish10,Motif_11,1.0
542,Zebrafish13,Motif_11,0.0
543,Zebrafish14,Motif_11,1.0
544,Zebrafish15,Motif_11,1.0
545,Zebrafish17,Motif_11,0.0
546,Zebrafish2,Motif_11,1.0
547,Zebrafish20,Motif_11,0.0
548,Zebrafish21,Motif_11,1.0
549,Zebrafish22,Motif_11,0.0
550,Zebrafish23,Motif_11,1.0
551,Zebrafish25,Motif_11,0.0
552,Zebrafish26,Motif_11,0.0
553,Zebrafish28,Motif_11,1.0
554,Zebrafish29,Motif_11,0.0
555,Zebrafish31,Motif_11,0.0
556,Zebrafish32,Motif_11,1.0
557,Zebrafish33,Motif_11,0.0
558,Zebrafish36,Motif_11,1.0
559,Zebrafish39,Motif_11,0.0
560,Zebrafish4,Motif_11,0.0
561,Zebrafish42,Motif_11,0.0
562,Zebrafish43,Motif_11,0.0
563,Zebrafish44,Motif_11,0.0
564,Zebrafish46,Motif_11,0.0
565,Zebrafish47,Motif_11,0.0
566,Zebrafish49,Motif_11,0.0
567,Zebrafish5,Motif_11,0.0
568,Zebrafish50,Motif_11,1.0
569,Zebrafish52,Motif_11,0.0
570,Zebrafish53,Motif_11,0.0
571,Zebrafish54,Motif_11,0.0
572,Zebrafish55,Motif_11,1.0
573,Zebrafish58,Motif_11,1.0
574,Zebrafish59,Motif_11,0.0
575,Zebrafish6,Motif_11,0.0
576,Zebrafish61,Motif_11,1.0
577,Zebrafish63,Motif_11,0.0
578,Zebrafish65,Motif_11,1.0
579,Zebrafish68,Motif_11,0.0
580,Zebrafish69,Motif_11,0.0
581,Zebrafish7,Motif_11,0.0
582,Zebrafish70,Motif_11,0.0
583,Zebrafish71,Motif_11,1.0
584,Zebrafish77,Motif_11,0.0
585,Zebrafish78,Motif_11,0.0
586,Zebrafish8,Motif_11,0.0
587,Zebrafish80,Motif_11,0.0
588,Zebrafish83,Motif_11,0.0
589,Zebrafish84,Motif_11,0.0
590,Zebrafish85,Motif_11,0.0
591,Zebrafish86,Motif_11,0.0
592,Zebrafish87,Motif_11,0.0
593,Zebrafish9,Motif_11,1.0
594,Zebrafish1,Motif_12,0.0
595,Zebrafish10,Motif_12,0.0
596,Zebrafish13,Motif_12,0.0
597,Zebrafish14,Motif_12,0.0
598,Zebrafish15,Motif_12,1.0
599,Zebrafish17,Motif_12,0.0
600,Zebrafish2,Motif_12,0.0
601,Zebrafish20,Motif_12,0.0
602,Zebrafish21,Motif_12,0.0
603,Zebrafish22,Motif_12,0.0
604,Zebrafish23,Motif_12,0.0
605,Zebrafish25,Motif_12,0.0
606,Zebrafish26,Motif_12,0.0
607,Zebrafish28,Motif_12,0.0
608,Zebrafish29,Motif_12,0.0
609,Zebrafish31,Motif_12,0.0
610,Zebrafish32,Motif_12,0.0
611,Zebrafish33,Motif_12,0.0
612,Zebrafish36,Motif_12,0.0
613,Zebrafish39,Motif_12,0.0
614,Zebrafish4,Motif_12,0.0
615,Zebrafish42,Motif_12,0.0
616,Zebrafish43,Motif_12,0.0
617,Zebrafish44,Motif_12,0.0
618,Zebrafish46,Motif_12,0.0
619,Zebrafish47,Motif_12,0.0
620,Zebrafish49,Motif_12,0.0
621,Zebrafish5,Motif_12,0.0
622,Zebrafish50,Motif_12,0.0
623,Zebrafish52,Motif_12,0.0
624,Zebrafish53,Motif_12,0.0
625,Zebrafish54,Motif_12,0.0
626,Zebrafish55,Motif_12,0.0
627,Zebrafish58,Motif_12,0.0
628,Zebrafish59,Motif_12,0.0
629,Zebrafish6,Motif_12,0.0
630,Zebrafish61,Motif_12,0.0
631,Zebrafish63,Motif_12,0.0
632,Zebrafish65,Motif_12,0.0
633,Zebrafish68,Motif_12,0.0
634,Zebrafish69,Motif_12,0.0
635,Zebrafish7,Motif_12,0.0
636,Zebrafish70,Motif_12,0.0
637,Zebrafish71,Motif_12,0.0
638,Zebrafish77,Motif_12,0.0
639,Zebrafish78,Motif_12,0.0
640,Zebrafish8,Motif_12,0.0
641,Zebrafish80,Motif_12,0.0
642,Zebrafish83,Motif_12,0.0
643,Zebrafish84,Motif_12,0.0
644,Zebrafish85,Motif_12,0.0
645,Zebrafish86,Motif_12,0.0
646,Zebrafish87,Motif_12,0.0
647,Zebrafish9,Motif_12,0.0
648,Zebrafish1,Motif_13,0.0
649,Zebrafish10,Motif_13,0.0
650,Zebrafish13,Motif_13,0.0
651,Zebrafish14,Motif_13,0.0
652,Zebrafish15,Motif_13,0.0
653,Zebrafish17,Motif_13,0.0
654,Zebrafish2,Motif_13,1.0
655,Zebrafish20,Motif_13,0.0
656,Zebrafish21,Motif_13,0.0
657,Zebrafish22,Motif_13,0.0
658,Zebrafish23,Motif_13,1.0
659,Zebrafish25,Motif_13,0.0
660,Zebrafish26,Motif_13,0.0
661,Zebrafish28,Motif_13,1.0
662,Zebrafish29,Motif_13,0.0
663,Zebrafish31,Motif_13,0.0
664,Zebrafish32,Motif_13,0.0
665,Zebrafish33,Motif_13,0.0
666,Zebrafish36,Motif_13,0.0
667,Zebrafish39,Motif_13,0.0
668,Zebrafish4,Motif_13,1.0
669,Zebrafish42,Motif_13,0.0
670,Zebrafish43,Motif_13,0.0
671,Zebrafish44,Motif_13,0.0
672,Zebrafish46,Motif_13,0.0
673,Zebrafish47,Motif_13,0.0
674,Zebrafish49,Motif_13,0.0
675,Zebrafish5,Motif_13,0.0
676,Zebrafish50,Motif_13,0.0
677,Zebrafish52,Motif_13,0.0
678,Zebrafish53,Motif_13,0.0
679,Zebrafish54,Motif_13,0.0
680,Zebrafish55,Motif_13,1.0
681,Zebrafish58,Motif_13,1.0
682,Zebrafish59,Motif_13,0.0
683,Zebrafish6,Motif_13,0.0
684,Zebrafish61,Motif_13,0.0
685,Zebrafish63,Motif_13,0.0
686,Zebrafish65,Motif_13,0.0
687,Zebrafish68,Motif_13,0.0
688,Zebrafish69,Motif_13,0.0
689,Zebrafish7,Motif_13,0.0
690,Zebrafish70,Motif_13,0.0
691,Zebrafish71,Motif_13,0.0
692,Zebrafish77,Motif_13,0.0
693,Zebrafish78,Motif_13,1.0
694,Zebrafish8,Motif_13,0.0
695,Zebrafish80,Motif_13,0.0
696,Zebrafish83,Motif_13,0.0
