,type,eta
125,eta,0.7966381262564125
126,eta,0.8722708734183211
127,eta,0.9543977390984059
128,eta_comb,0.8816845685062161
129,eta_comb,0.8718683500390411
130,eta_comb,0.8817513214510363
131,eta_comb,0.9053371807313185
132,eta_comb,0.860203441017787
133,eta_comb,0.8408435995676707
134,eta_comb,0.8411151160534326
135,eta_comb,0.8913433993390661
136,eta_comb,0.8249569537106405
137,eta_comb,0.8945585012295878
138,eta_comb,0.8737243012152554
139,eta_comb,0.8885731175171411
140,eta_comb,0.8389190387696807
141,eta_comb,0.7776840012357765
142,eta_comb,0.7725554922756894
143,eta_comb,0.8412173753614378
144,eta_comb,0.8406017159964781
145,eta_comb,0.8031806233442877
146,eta_comb,0.8716364547706253
147,eta_comb,0.8312186412093941
148,eta_comb,0.7863726553629957
149,eta_comb,0.8299323498845017
150,eta_comb,0.8694971813065168
151,eta_comb,0.9136944972336966
152,eta_comb,0.6945415717060888
153,eta_comb,0.8707008728669788
154,eta_comb,0.8363719370522604
155,eta_comb,0.873509812425407
156,eta_comb,0.8257862613487101
157,eta_comb,0.8731261098410867
158,eta_comb,0.8621536589349202
159,eta_comb,0.8390877877797771
160,eta_comb,0.8552927520388177
161,eta_comb,0.8371956722310574
162,eta_comb,0.827846205147761
163,eta_comb,0.8664151322084866
164,eta_comb,0.794486885511048
165,eta_comb,0.8852294778405662
166,eta_comb,0.8396313451487853
167,eta_comb,0.8833994941736281
168,eta_comb,0.8293891531594895
169,eta_comb,0.8022153296639561
170,eta_comb,0.7177516088850098
171,eta_comb,0.826906211491802
172,eta_comb,0.8187078585416482
173,eta_comb,0.8185999211761088
174,eta_comb,0.8910958250758529
175,eta_comb,0.9068988780666148
176,eta_comb,0.8315345073355476
177,eta_comb,0.9087439840625745
178,eta_comb,0.9127334954346625
179,eta_comb,0.8509762561306216
180,eta_comb,0.8525166782243832
181,eta_comb,0.9186922457295921
182,eta_comb,0.8873774059425655
183,eta_comb,0.7525845753491481
184,eta_comb,0.7719562376530652
185,eta_comb,0.8058971028149804
186,eta_comb,0.8613019195004327
187,eta_comb,0.7706109603122571
188,eta_comb,0.8240971769764159
189,eta_comb,0.8919556526702656
190,eta_comb,0.7549205488723421
191,eta_comb,0.8521046570629621
192,eta_comb,0.8537568157985636
193,eta_comb,0.8437039158117542
194,eta_comb,0.733962585130005
195,eta_comb,0.8613630673629346
196,eta_comb,0.8513713622766317
197,eta_comb,0.8716508601492454
198,eta_comb,0.8646922512393455
199,eta_comb,0.8244841758681083
200,eta_comb,0.861553787872972
201,eta_comb,0.905265999404599
202,eta_comb,0.8923659243538474
203,eta_comb,0.8350478206148212
204,eta_comb,0.9010021089967827
205,eta_comb,0.8808886013789534
206,eta_comb,0.8704066125002135
207,eta_comb,0.8056658099298568
208,eta_comb,0.8332336661867075
209,eta_comb,0.8375480632415234
210,eta_comb,0.7855112353646514
211,eta_comb,0.7407380174636494
212,eta_comb,0.8283196991588667
213,eta_comb,0.8451661400484286
214,eta_comb,0.8692332437761917
215,eta_comb,0.8979235711471361
216,eta_comb,0.8954720013175742
217,eta_comb,0.8757936992526066
218,eta_comb,0.8219976330174676
219,eta_comb,0.8687415835389836
220,eta_comb,0.8839458550331065
221,eta_comb,0.8423944309259151
222,eta_comb,0.8964461219167345
223,eta_comb,0.8656988619895788
224,eta_comb,0.7245573866937575
225,eta_comb,0.8133051156567064
226,eta_comb,0.8706688640454442
227,eta_comb,0.8378502671618531
228,eta_comb,0.8374716423521774
