,Celltype,Motif,Influe
255,Drosophila54,Motif_21,0.0
256,Drosophila55,Motif_21,1.0
257,Drosophila56,Motif_21,0.0
258,Drosophila57,Motif_21,0.0
259,Drosophila58,Motif_21,0.0
260,Drosophila6,Motif_21,0.0
261,Drosophila7,Motif_21,1.0
262,Drosophila8,Motif_21,0.0
263,Drosophila9,Motif_21,0.0
264,Drosophila1,Motif_22,0.0
265,Drosophila10,Motif_22,0.0
266,Drosophila13,Motif_22,0.0
267,Drosophila14,Motif_22,0.0
268,Drosophila15,Motif_22,0.0
269,Drosophila16,Motif_22,0.0
270,Drosophila18,Motif_22,0.0
271,Drosophila19,Motif_22,0.0
272,Drosophila20,Motif_22,0.0
273,Drosophila23,Motif_22,0.0
274,Drosophila25,Motif_22,0.0
275,Drosophila29,Motif_22,0.0
276,Drosophila3,Motif_22,0.0
277,Drosophila31,Motif_22,0.0
278,Drosophila35,Motif_22,0.0
279,Drosophila37,Motif_22,0.0
280,Drosophila38,Motif_22,0.0
281,Drosophila39,Motif_22,0.0
282,Drosophila4,Motif_22,0.0
283,Drosophila41,Motif_22,0.0
284,Drosophila44,Motif_22,0.0
285,Drosophila46,Motif_22,0.0
286,Drosophila5,Motif_22,0.0
287,Drosophila52,Motif_22,0.0
288,Drosophila54,Motif_22,1.0
289,Drosophila55,Motif_22,0.0
290,Drosophila56,Motif_22,0.0
291,Drosophila57,Motif_22,0.0
292,Drosophila58,Motif_22,0.0
293,Drosophila6,Motif_22,0.0
294,Drosophila7,Motif_22,0.0
295,Drosophila8,Motif_22,0.0
296,Drosophila9,Motif_22,0.0
297,Drosophila1,Motif_24,0.0
298,Drosophila10,Motif_24,0.0
299,Drosophila13,Motif_24,0.0
300,Drosophila14,Motif_24,0.0
301,Drosophila15,Motif_24,0.0
302,Drosophila16,Motif_24,0.0
303,Drosophila18,Motif_24,0.0
304,Drosophila19,Motif_24,0.0
305,Drosophila20,Motif_24,0.0
306,Drosophila23,Motif_24,0.0
307,Drosophila25,Motif_24,0.0
308,Drosophila29,Motif_24,0.0
309,Drosophila3,Motif_24,0.0
310,Drosophila31,Motif_24,1.0
311,Drosophila35,Motif_24,0.0
312,Drosophila37,Motif_24,0.0
313,Drosophila38,Motif_24,0.0
314,Drosophila39,Motif_24,1.0
315,Drosophila4,Motif_24,0.0
316,Drosophila41,Motif_24,0.0
317,Drosophila44,Motif_24,0.0
318,Drosophila46,Motif_24,0.0
319,Drosophila5,Motif_24,0.0
320,Drosophila52,Motif_24,0.0
321,Drosophila54,Motif_24,1.0
322,Drosophila55,Motif_24,1.0
323,Drosophila56,Motif_24,0.0
324,Drosophila57,Motif_24,1.0
325,Drosophila58,Motif_24,0.0
326,Drosophila6,Motif_24,0.0
327,Drosophila7,Motif_24,0.0
328,Drosophila8,Motif_24,0.0
329,Drosophila9,Motif_24,0.0
330,Drosophila1,Motif_26,0.0
331,Drosophila10,Motif_26,1.0
332,Drosophila13,Motif_26,1.0
333,Drosophila14,Motif_26,1.0
334,Drosophila15,Motif_26,1.0
335,Drosophila16,Motif_26,0.0
336,Drosophila18,Motif_26,1.0
337,Drosophila19,Motif_26,0.0
338,Drosophila20,Motif_26,0.0
339,Drosophila23,Motif_26,0.0
340,Drosophila25,Motif_26,0.0
341,Drosophila29,Motif_26,1.0
342,Drosophila3,Motif_26,0.0
343,Drosophila31,Motif_26,0.0
344,Drosophila35,Motif_26,0.0
345,Drosophila37,Motif_26,0.0
346,Drosophila38,Motif_26,0.0
347,Drosophila39,Motif_26,0.0
348,Drosophila4,Motif_26,0.0
349,Drosophila41,Motif_26,0.0
350,Drosophila44,Motif_26,0.0
351,Drosophila46,Motif_26,0.0
352,Drosophila5,Motif_26,0.0
353,Drosophila52,Motif_26,1.0
354,Drosophila54,Motif_26,0.0
355,Drosophila55,Motif_26,1.0
356,Drosophila56,Motif_26,0.0
357,Drosophila57,Motif_26,0.0
358,Drosophila58,Motif_26,0.0
359,Drosophila6,Motif_26,0.0
360,Drosophila7,Motif_26,1.0
361,Drosophila8,Motif_26,0.0
362,Drosophila9,Motif_26,1.0
363,Drosophila1,Motif_29,0.0
364,Drosophila10,Motif_29,0.0
365,Drosophila13,Motif_29,0.0
366,Drosophila14,Motif_29,0.0
367,Drosophila15,Motif_29,0.0
368,Drosophila16,Motif_29,0.0
369,Drosophila18,Motif_29,0.0
370,Drosophila19,Motif_29,0.0
371,Drosophila20,Motif_29,0.0
372,Drosophila23,Motif_29,1.0
373,Drosophila25,Motif_29,0.0
374,Drosophila29,Motif_29,0.0
375,Drosophila3,Motif_29,0.0
376,Drosophila31,Motif_29,1.0
377,Drosophila35,Motif_29,0.0
378,Drosophila37,Motif_29,1.0
379,Drosophila38,Motif_29,0.0
380,Drosophila39,Motif_29,0.0
381,Drosophila4,Motif_29,0.0
382,Drosophila41,Motif_29,0.0
383,Drosophila44,Motif_29,0.0
384,Drosophila46,Motif_29,0.0
385,Drosophila5,Motif_29,0.0
386,Drosophila52,Motif_29,0.0
387,Drosophila54,Motif_29,1.0
388,Drosophila55,Motif_29,0.0
389,Drosophila56,Motif_29,1.0
390,Drosophila57,Motif_29,0.0
391,Drosophila58,Motif_29,1.0
392,Drosophila6,Motif_29,0.0
393,Drosophila7,Motif_29,0.0
394,Drosophila8,Motif_29,1.0
395,Drosophila9,Motif_29,0.0
396,Drosophila1,Motif_30,0.0
397,Drosophila10,Motif_30,1.0
398,Drosophila13,Motif_30,1.0
399,Drosophila14,Motif_30,1.0
400,Drosophila15,Motif_30,1.0
401,Drosophila16,Motif_30,0.0
402,Drosophila18,Motif_30,1.0
403,Drosophila19,Motif_30,0.0
404,Drosophila20,Motif_30,0.0
405,Drosophila23,Motif_30,0.0
406,Drosophila25,Motif_30,0.0
407,Drosophila29,Motif_30,0.0
408,Drosophila3,Motif_30,0.0
409,Drosophila31,Motif_30,1.0
410,Drosophila35,Motif_30,0.0
411,Drosophila37,Motif_30,0.0
412,Drosophila38,Motif_30,0.0
413,Drosophila39,Motif_30,0.0
414,Drosophila4,Motif_30,1.0
415,Drosophila41,Motif_30,1.0
416,Drosophila44,Motif_30,0.0
417,Drosophila46,Motif_30,0.0
418,Drosophila5,Motif_30,1.0
419,Drosophila52,Motif_30,1.0
420,Drosophila54,Motif_30,0.0
421,Drosophila55,Motif_30,0.0
422,Drosophila56,Motif_30,0.0
423,Drosophila57,Motif_30,0.0
424,Drosophila58,Motif_30,0.0
425,Drosophila6,Motif_30,0.0
426,Drosophila7,Motif_30,0.0
427,Drosophila8,Motif_30,0.0
428,Drosophila9,Motif_30,1.0
429,Drosophila1,Motif_31,0.0
430,Drosophila10,Motif_31,1.0
431,Drosophila13,Motif_31,1.0
432,Drosophila14,Motif_31,0.0
433,Drosophila15,Motif_31,1.0
434,Drosophila16,Motif_31,0.0
435,Drosophila18,Motif_31,1.0
436,Drosophila19,Motif_31,0.0
437,Drosophila20,Motif_31,0.0
