,Cluster,Motif,Influe
221,FatBody,Motif_44,0.6288464
222,Follicle,Motif_44,0.35859707
223,Germ,Motif_44,1.303931
224,Gut,Motif_44,-0.30701262
225,Hemocytes,Motif_44,-0.12937048
226,MAG,Motif_44,-1.2746538
227,MT,Motif_44,0.15738511
228,Muscle,Motif_44,1.0166717
229,Neuron,Motif_44,-0.4932741
230,Proliferating,Motif_44,0.4961964
231,Epithelial,Motif_48,-0.5786927
232,FatBody,Motif_48,1.6592579
233,Follicle,Motif_48,-0.24428144
234,Germ,Motif_48,1.0690793
235,Gut,Motif_48,0.96601886
236,Hemocytes,Motif_48,0.7004829
237,MAG,Motif_48,0.8662692
238,MT,Motif_48,1.0648518
239,Muscle,Motif_48,0.95507777
240,Neuron,Motif_48,-0.5846279
241,Proliferating,Motif_48,1.0844959
242,Epithelial,Motif_53,-0.235749
243,FatBody,Motif_53,-0.87879056
244,Follicle,Motif_53,0.51332116
245,Germ,Motif_53,0.1992211
246,Gut,Motif_53,-0.33193952
247,Hemocytes,Motif_53,-0.08619906
248,MAG,Motif_53,-0.54369396
249,MT,Motif_53,-0.32122812
250,Muscle,Motif_53,-0.68128234
251,Neuron,Motif_53,-1.1404986
252,Proliferating,Motif_53,-0.21505547
253,Epithelial,Motif_54,-0.72314763
254,FatBody,Motif_54,1.3996797
255,Follicle,Motif_54,0.11243368
256,Germ,Motif_54,1.5471095
257,Gut,Motif_54,0.8163917
258,Hemocytes,Motif_54,0.5139307
259,MAG,Motif_54,-0.63333035
260,MT,Motif_54,0.73039895
261,Muscle,Motif_54,0.7003222
262,Neuron,Motif_54,-1.2249123
263,Proliferating,Motif_54,0.6097601
264,Epithelial,Motif_55,0.19823907
265,FatBody,Motif_55,-1.0122181
266,Follicle,Motif_55,0.2960633
267,Germ,Motif_55,-0.16445048
268,Gut,Motif_55,-1.303295e-05
269,Hemocytes,Motif_55,0.24665166
270,MAG,Motif_55,0.524354
271,MT,Motif_55,-0.57953906
272,Muscle,Motif_55,-1.4048731
273,Neuron,Motif_55,-0.76904243
274,Proliferating,Motif_55,-0.373379
275,Epithelial,Motif_57,1.1629755
276,FatBody,Motif_57,0.86304563
277,Follicle,Motif_57,-0.2645224
278,Germ,Motif_57,-0.35882655
279,Gut,Motif_57,1.1491444
280,Hemocytes,Motif_57,1.0055659
281,MAG,Motif_57,-0.65592194
282,MT,Motif_57,0.48272115
283,Muscle,Motif_57,-0.5853281
284,Neuron,Motif_57,-0.61247736
285,Proliferating,Motif_57,0.32064497
286,Epithelial,Motif_60,-1.046039
287,FatBody,Motif_60,1.2135366
288,Follicle,Motif_60,0.21185
289,Germ,Motif_60,1.8015127
290,Gut,Motif_60,0.32501924
291,Hemocytes,Motif_60,0.15154965
292,MAG,Motif_60,-0.5965178
293,MT,Motif_60,0.5807867
294,Muscle,Motif_60,0.953092
295,Neuron,Motif_60,-1.122875
296,Proliferating,Motif_60,0.5974145
297,Epithelial,Motif_62,1.402192
298,FatBody,Motif_62,-0.8097268
299,Follicle,Motif_62,-0.2918956
300,Germ,Motif_62,-1.7101355
301,Gut,Motif_62,0.07281103
302,Hemocytes,Motif_62,0.1857422
303,MAG,Motif_62,0.49292877
304,MT,Motif_62,-0.2748825
305,Muscle,Motif_62,-1.131661
306,Neuron,Motif_62,0.66329056
307,Proliferating,Motif_62,-0.5657051
308,Epithelial,Motif_65,-0.5704596
309,FatBody,Motif_65,0.6155766
310,Follicle,Motif_65,0.3359129
311,Germ,Motif_65,0.5907873
312,Gut,Motif_65,-0.010973372
313,Hemocytes,Motif_65,0.21282424
314,MAG,Motif_65,-1.4117357
315,MT,Motif_65,0.19488835
316,Muscle,Motif_65,0.40845916
317,Neuron,Motif_65,-0.772109
318,Proliferating,Motif_65,0.48581573
319,Epithelial,Motif_67,-1.0177171
320,FatBody,Motif_67,-0.7991849
321,Follicle,Motif_67,0.5859861
322,Germ,Motif_67,-0.4464726
323,Gut,Motif_67,-1.2504275
324,Hemocytes,Motif_67,-0.95377725
325,MAG,Motif_67,-1.3066502
326,MT,Motif_67,-0.77162945
327,Muscle,Motif_67,0.3181427
328,Neuron,Motif_67,0.1074361
329,Proliferating,Motif_67,0.009141284
330,Epithelial,Motif_68,-0.8797223
331,FatBody,Motif_68,1.246946
332,Follicle,Motif_68,0.24260144
333,Germ,Motif_68,1.1769774
334,Gut,Motif_68,0.26702526
335,Hemocytes,Motif_68,0.032637548
336,MAG,Motif_68,-1.1852
337,MT,Motif_68,0.42468548
338,Muscle,Motif_68,0.751694
339,Neuron,Motif_68,-0.7818204
340,Proliferating,Motif_68,0.41715324
341,Epithelial,Motif_69,-0.96504664
342,FatBody,Motif_69,0.6400009
343,Follicle,Motif_69,0.33318713
344,Germ,Motif_69,1.4254549
345,Gut,Motif_69,0.31086677
346,Hemocytes,Motif_69,0.28705072
347,MAG,Motif_69,-1.0275505
348,MT,Motif_69,0.33762226
349,Muscle,Motif_69,0.6490622
350,Neuron,Motif_69,-1.1973583
351,Proliferating,Motif_69,0.65528893
352,Epithelial,Motif_70,-0.3720431
353,FatBody,Motif_70,-0.9279957
354,Follicle,Motif_70,0.5795815
355,Germ,Motif_70,-0.026837712
356,Gut,Motif_70,-0.5490998
357,Hemocytes,Motif_70,-0.33510888
358,MAG,Motif_70,-0.4173375
359,MT,Motif_70,-0.61652875
360,Muscle,Motif_70,-0.7660007
361,Neuron,Motif_70,-0.94808245
362,Proliferating,Motif_70,-0.51568544
363,Epithelial,Motif_71,0.01435929
364,FatBody,Motif_71,-0.06797669
365,Follicle,Motif_71,-0.06797669
366,Germ,Motif_71,-0.06797669
367,Gut,Motif_71,-0.067832634
368,Hemocytes,Motif_71,-0.06797669
369,MAG,Motif_71,0.24252006
370,MT,Motif_71,-0.060812943
371,Muscle,Motif_71,-0.06797669
372,Neuron,Motif_71,-0.061788227
373,Proliferating,Motif_71,-0.06797669
374,Epithelial,Motif_72,-0.54487854
375,FatBody,Motif_72,-1.3546853
376,Follicle,Motif_72,0.5248277
377,Germ,Motif_72,-0.44714284
