,Cluster,Motif,Influe
621,Hemocytes,"(1, 3)",0.568251
622,MAG,"(1, 3)",-0.7251021
623,MT,"(1, 3)",0.77552456
624,Muscle,"(1, 3)",0.5173346
625,Neuron,"(1, 3)",-0.73819417
626,Proliferating,"(1, 3)",0.41259518
627,Epithelial,"(1, 4)",-1.3948119
628,FatBody,"(1, 4)",0.63282776
629,Follicle,"(1, 4)",0.4746891
630,Germ,"(1, 4)",1.6175467
631,Gut,"(1, 4)",-0.39203522
632,Hemocytes,"(1, 4)",-0.20201427
633,MAG,"(1, 4)",-1.1875584
634,MT,"(1, 4)",0.06294677
635,Muscle,"(1, 4)",0.744018
636,Neuron,"(1, 4)",-0.7913004
637,Proliferating,"(1, 4)",0.09577102
638,Epithelial,"(1, 5)",0.8381759
639,FatBody,"(1, 5)",1.0535524
640,Follicle,"(1, 5)",-0.64925575
641,Germ,"(1, 5)",0.31375685
642,Gut,"(1, 5)",1.1621217
643,Hemocytes,"(1, 5)",0.8058593
644,MAG,"(1, 5)",1.5861366
645,MT,"(1, 5)",0.81002206
646,Muscle,"(1, 5)",-0.039840978
647,Neuron,"(1, 5)",0.19990961
648,Proliferating,"(1, 5)",0.1260245
649,Epithelial,"(1, 7)",-1.4707568
650,FatBody,"(1, 7)",-0.34641677
651,Follicle,"(1, 7)",0.5508241
652,Germ,"(1, 7)",0.58148086
653,Gut,"(1, 7)",-1.130035
654,Hemocytes,"(1, 7)",-0.96129394
