,Cluster,Motif,Influe
281,Epithelial,Motif_48,-0.20141232
282,Germ,Motif_48,-0.16858694
283,Mesenchyme,Motif_48,0.46199775
284,Muscle,Motif_48,-0.26242474
285,Neuron,Motif_48,-0.44306612
286,Notochord,Motif_48,-0.58138955
287,Endoderm,Motif_49,0.6290222
288,Epithelial,Motif_49,0.43280503
289,Germ,Motif_49,-0.2873973
290,Mesenchyme,Motif_49,-0.6149261
291,Muscle,Motif_49,0.69713956
292,Neuron,Motif_49,0.34747744
293,Notochord,Motif_49,0.47300526
294,Endoderm,Motif_51,-0.46375215
295,Epithelial,Motif_51,-0.33904395
296,Germ,Motif_51,-0.050736956
297,Mesenchyme,Motif_51,0.37004995
298,Muscle,Motif_51,-0.159323
299,Neuron,Motif_51,-0.42565724
300,Notochord,Motif_51,-0.46375215
301,Endoderm,Motif_52,-0.5564807
302,Epithelial,Motif_52,-0.26110333
303,Germ,Motif_52,-0.11089449
304,Mesenchyme,Motif_52,0.46814957
305,Muscle,Motif_52,-0.24059372
306,Neuron,Motif_52,-0.4559571
307,Notochord,Motif_52,-0.5564807
308,Endoderm,Motif_53,-0.7774173
309,Epithelial,Motif_53,-0.36818424
310,Germ,Motif_53,-0.36297107
311,Mesenchyme,Motif_53,0.71628386
312,Muscle,Motif_53,-0.5387762
313,Neuron,Motif_53,-0.499615
314,Notochord,Motif_53,-0.775505
315,Endoderm,Motif_54,0.58771527
316,Epithelial,Motif_54,0.3446286
317,Germ,Motif_54,-0.27728647
318,Mesenchyme,Motif_54,-0.5555521
319,Muscle,Motif_54,0.6721214
320,Neuron,Motif_54,0.3083452
321,Notochord,Motif_54,0.5511519
322,Endoderm,Motif_55,0.18490636
323,Epithelial,Motif_55,-0.3266993
324,Germ,Motif_55,-0.55147594
325,Mesenchyme,Motif_55,0.10624801
326,Muscle,Motif_55,0.3851476
327,Neuron,Motif_55,-0.6056416
328,Notochord,Motif_55,-1.18062
329,Endoderm,Motif_56,0.19029452
330,Epithelial,Motif_56,0.14205049
331,Germ,Motif_56,1.0331851
332,Mesenchyme,Motif_56,-0.36780864
333,Muscle,Motif_56,-0.35446873
334,Neuron,Motif_56,0.20549121
335,Notochord,Motif_56,0.19396307
336,Endoderm,Motif_57,0.39035344
337,Epithelial,Motif_57,0.48780283
338,Germ,Motif_57,1.0387042
339,Mesenchyme,Motif_57,-0.56799126
340,Muscle,Motif_57,-0.1224277
341,Neuron,Motif_57,0.6790534
342,Notochord,Motif_57,0.24608791
343,Endoderm,Motif_58,-0.71425134
344,Epithelial,Motif_58,-0.66506463
345,Germ,Motif_58,-0.34610844
346,Mesenchyme,Motif_58,0.7981092
347,Muscle,Motif_58,-0.56097287
348,Neuron,Motif_58,-0.6168332
349,Notochord,Motif_58,-0.71425134
350,Endoderm,Motif_59,0.2573458
351,Epithelial,Motif_59,0.4622495
352,Germ,Motif_59,0.9541521
353,Mesenchyme,Motif_59,-0.60791516
354,Muscle,Motif_59,-0.23171653
355,Neuron,Motif_59,0.86796856
356,Notochord,Motif_59,1.3894144
357,Endoderm,Motif_60,-0.7721088
358,Epithelial,Motif_60,-0.46731946
359,Germ,Motif_60,-0.36477643
360,Mesenchyme,Motif_60,0.74865323
361,Muscle,Motif_60,-0.5363684
362,Neuron,Motif_60,-0.5219653
363,Notochord,Motif_60,-0.7721088
364,Endoderm,Motif_61,0.9619624
365,Epithelial,Motif_61,0.22224833
366,Germ,Motif_61,0.14999919
367,Mesenchyme,Motif_61,-0.69232327
368,Muscle,Motif_61,0.6347308
369,Neuron,Motif_61,0.18122913
370,Notochord,Motif_61,0.044036213
371,Endoderm,Motif_62,-0.72466695
372,Epithelial,Motif_62,-0.2557359
373,Germ,Motif_62,-0.2938006
374,Mesenchyme,Motif_62,0.6374401
375,Muscle,Motif_62,-0.4246064
376,Neuron,Motif_62,-0.47959977
377,Notochord,Motif_62,-0.72466695
378,Endoderm,Motif_63,0.52187824
379,Epithelial,Motif_63,0.8837062
380,Germ,Motif_63,0.8189811
381,Mesenchyme,Motif_63,-0.7579007
382,Muscle,Motif_63,0.015554917
383,Neuron,Motif_63,0.7529038
384,Notochord,Motif_63,0.3394029
385,Endoderm,Motif_64,0.21012056
386,Epithelial,Motif_64,0.040309362
387,Germ,Motif_64,-0.755893
388,Mesenchyme,Motif_64,-0.16104098
389,Muscle,Motif_64,0.49130702
390,Neuron,Motif_64,0.008693267
391,Notochord,Motif_64,0.35986125
392,Endoderm,Motif_65,0.20425494
393,Epithelial,Motif_65,0.2542846
394,Germ,Motif_65,0.97771186
395,Mesenchyme,Motif_65,-0.4134209
396,Muscle,Motif_65,-0.3192686
397,Neuron,Motif_65,0.30438167
398,Notochord,Motif_65,0.22181143
399,Endoderm,Motif_66,-0.74014676
400,Epithelial,Motif_66,-0.5472135
401,Germ,Motif_66,-0.32488433
402,Mesenchyme,Motif_66,0.7605319
403,Muscle,Motif_66,-0.52543396
404,Neuron,Motif_66,-0.5521524
405,Notochord,Motif_66,-0.7401051
406,Endoderm,Motif_67,0.5220783
407,Epithelial,Motif_67,0.888118
408,Germ,Motif_67,0.83384067
409,Mesenchyme,Motif_67,-0.7535346
410,Muscle,Motif_67,0.0044794073
411,Neuron,Motif_67,0.7278641
412,Notochord,Motif_67,0.3603028
413,Endoderm,Motif_68,1.0668503
414,Epithelial,Motif_68,0.4575554
415,Germ,Motif_68,0.50457513
416,Mesenchyme,Motif_68,-0.9257821
417,Muscle,Motif_68,0.64388794
418,Neuron,Motif_68,0.5641919
419,Notochord,Motif_68,0.5782947
420,Endoderm,Motif_69,0.40737665
421,Epithelial,Motif_69,0.35184813
422,Germ,Motif_69,1.1257448
423,Mesenchyme,Motif_69,-0.54259133
424,Muscle,Motif_69,-0.16234468
425,Neuron,Motif_69,0.6236624
426,Notochord,Motif_69,0.3044123
427,Endoderm,Motif_70,-0.47400287
428,Epithelial,Motif_70,-0.47400287
429,Germ,Motif_70,-0.06768529
430,Mesenchyme,Motif_70,0.45664385
431,Muscle,Motif_70,-0.3554566
432,Neuron,Motif_70,-0.47184885
433,Notochord,Motif_70,-0.47400287
434,Endoderm,Motif_72,-0.5527391
435,Epithelial,Motif_72,-0.38084072
436,Germ,Motif_72,-0.12065197
437,Mesenchyme,Motif_72,0.54090023
438,Muscle,Motif_72,-0.23886117
439,Neuron,Motif_72,-0.4899287
440,Notochord,Motif_72,-0.5527391
441,Endoderm,Motif_73,-0.3090785
442,Epithelial,Motif_73,0.63691336
443,Germ,Motif_73,-0.30908024
444,Mesenchyme,Motif_73,-0.30908024
445,Muscle,Motif_73,-0.30322486
446,Neuron,Motif_73,0.3504737
447,Notochord,Motif_73,1.1721965
448,Endoderm,Motif_74,-0.18995346
449,Epithelial,Motif_74,0.90534824
450,Germ,Motif_74,0.2759903
451,Mesenchyme,Motif_74,-0.5231452
452,Muscle,Motif_74,-0.31653953
453,Neuron,Motif_74,0.95236605
454,Notochord,Motif_74,1.3968346
455,Endoderm,Motif_75,-0.9073513
456,Epithelial,Motif_75,-0.27368546
457,Germ,Motif_75,-0.60135597
458,Mesenchyme,Motif_75,0.78400654
459,Muscle,Motif_75,-0.5778731
460,Neuron,Motif_75,-0.5953198
461,Notochord,Motif_75,-0.9074952
462,Endoderm,Motif_76,-0.7911665
463,Epithelial,Motif_76,-0.79342276
464,Germ,Motif_76,-0.5479002
465,Mesenchyme,Motif_76,0.91236
466,Muscle,Motif_76,-0.7355582
467,Neuron,Motif_76,-0.76199985
468,Notochord,Motif_76,-0.79342276
469,Endoderm,Motif_77,-0.13068178
470,Epithelial,Motif_77,0.072135724
471,Germ,Motif_77,-0.13068178
472,Mesenchyme,Motif_77,-0.13068178
473,Muscle,Motif_77,-0.13068178
474,Neuron,Motif_77,0.047039744
475,Notochord,Motif_77,0.25940025
476,Endoderm,Motif_78,-0.6698701
477,Epithelial,Motif_78,-0.31963614
478,Germ,Motif_78,-0.22996187
479,Mesenchyme,Motif_78,0.6215135
480,Muscle,Motif_78,-0.33997235
481,Neuron,Motif_78,-0.52001566
482,Notochord,Motif_78,-0.6698701
483,Endoderm,Motif_79,0.034536492
484,Epithelial,Motif_79,0.15269789
485,Germ,Motif_79,0.6051672
486,Mesenchyme,Motif_79,-0.29845798
487,Muscle,Motif_79,-0.30265546
488,Neuron,Motif_79,0.114271455
489,Notochord,Motif_79,0.21453278
490,Endoderm,Motif_80,0.45264143
491,Epithelial,Motif_80,0.22918707
492,Germ,Motif_80,1.1472385
493,Mesenchyme,Motif_80,-0.5092511
494,Muscle,Motif_80,-0.14634185
495,Neuron,Motif_80,0.45121083
496,Notochord,Motif_80,0.19913968
497,Endoderm,Motif_81,-0.1309413
498,Epithelial,Motif_81,0.13960585
499,Germ,Motif_81,-0.1309413
500,Mesenchyme,Motif_81,-0.1309413
501,Muscle,Motif_81,0.109812655
