,Species,Cluster,Motif,Influe
19685,Celegan,Non-seam,"(26, 75)",1.1105891
19705,Celegan,Non-seam,"(26, 78)",1.4429167999999999
19706,Celegan,Pharyn,"(26, 78)",0.5249199999999999
19715,Celegan,Non-seam,"(26, 80)",1.4980127
19725,Celegan,Non-seam,"(26, 81)",1.3450301000000002
19765,Celegan,Non-seam,"(26, 88)",0.9979916
19775,Celegan,Non-seam,"(26, 89)",1.5065534
19785,Celegan,Non-seam,"(26, 90)",1.5279942
19795,Celegan,Non-seam,"(26, 91)",0.5667215999999999
19796,Celegan,Pharyn,"(26, 91)",0.99905044
19797,Celegan,Precursors,"(26, 91)",1.3322566
19798,Celegan,Rectum,"(26, 91)",1.2489540000000001
19799,Celegan,Seam,"(26, 91)",0.79925257
19805,Celegan,Non-seam,"(26, 92)",1.3793205
19806,Celegan,Pharyn,"(26, 92)",0.63791686
19815,Celegan,Non-seam,"(26, 94)",1.0664387
19816,Celegan,Pharyn,"(26, 94)",0.6988932
19825,Celegan,Non-seam,"(26, 95)",1.2711105
19835,Celegan,Non-seam,"(26, 96)",1.3865931
19836,Celegan,Pharyn,"(26, 96)",0.5960338000000001
19845,Celegan,Non-seam,"(26, 98)",1.5576324
19846,Celegan,Pharyn,"(26, 98)",0.5817711999999999
19855,Celegan,Non-seam,"(26, 100)",1.3971738
19856,Celegan,Pharyn,"(26, 100)",0.61095226
19875,Celegan,Non-seam,"(26, 104)",1.314673
19876,Celegan,Pharyn,"(26, 104)",0.5232747
19895,Celegan,Non-seam,"(26, 107)",1.1719421
19896,Celegan,Pharyn,"(26, 107)",0.94073427
19897,Celegan,Precursors,"(26, 107)",0.77412385
19898,Celegan,Rectum,"(26, 107)",0.6556986
19899,Celegan,Seam,"(26, 107)",0.6239293
19915,Celegan,Non-seam,"(26, 111)",1.2457416000000001
19925,Celegan,Non-seam,"(26, 112)",1.247549
19926,Celegan,Pharyn,"(26, 112)",0.5376379
19935,Celegan,Non-seam,"(26, 113)",1.4447488000000002
19945,Celegan,Non-seam,"(26, 116)",1.1253157
19955,Celegan,Non-seam,"(26, 117)",1.241075
19965,Celegan,Non-seam,"(26, 118)",0.7149397
19975,Celegan,Non-seam,"(26, 119)",1.3723644
19976,Celegan,Pharyn,"(26, 119)",0.66576326
19985,Celegan,Non-seam,"(26, 121)",1.484779
19986,Celegan,Pharyn,"(26, 121)",0.6076818
19995,Celegan,Non-seam,"(26, 122)",1.3433905000000002
19996,Celegan,Pharyn,"(26, 122)",0.55117863
20005,Celegan,Non-seam,"(26, 123)",0.61977863
20015,Celegan,Non-seam,"(26, 124)",1.2957803999999997
20016,Celegan,Pharyn,"(26, 124)",0.68924713
20035,Celegan,Non-seam,"(26, 126)",1.3289925
20045,Celegan,Non-seam,"(26, 127)",0.91728306
20054,Celegan,Neuron,"(27, 39)",0.9480004999999999
20074,Celegan,Neuron,"(27, 59)",0.616397
20086,Celegan,Pharyn,"(27, 60)",0.8515815999999999
20087,Celegan,Precursors,"(27, 60)",1.4798527
20088,Celegan,Rectum,"(27, 60)",1.2719871
20089,Celegan,Seam,"(27, 60)",0.7828633
20094,Celegan,Neuron,"(27, 64)",0.7151635999999999
20104,Celegan,Neuron,"(27, 66)",0.5200739999999999
20114,Celegan,Neuron,"(27, 68)",0.78287256
20134,Celegan,Neuron,"(27, 71)",0.8842956
20145,Celegan,Non-seam,"(27, 73)",0.7856736999999999
20154,Celegan,Neuron,"(27, 78)",0.9374925999999999
20165,Celegan,Non-seam,"(27, 92)",1.485572
20166,Celegan,Pharyn,"(27, 92)",0.676517
20174,Celegan,Neuron,"(27, 94)",0.65625024
20184,Celegan,Neuron,"(27, 96)",0.9461008
20194,Celegan,Neuron,"(27, 102)",0.8575203000000001
20205,Celegan,Non-seam,"(27, 104)",1.3567844999999998
20214,Celegan,Neuron,"(27, 107)",0.70948523
20225,Celegan,Non-seam,"(27, 112)",1.1794791999999998
20234,Celegan,Neuron,"(27, 113)",0.9161524999999999
20245,Celegan,Non-seam,"(27, 122)",1.3408062
20246,Celegan,Pharyn,"(27, 122)",0.50160515
20254,Celegan,Neuron,"(27, 124)",0.91695666
20257,Celegan,Precursors,"(27, 124)",0.5046036
20258,Celegan,Rectum,"(27, 124)",0.6389183
20264,Celegan,Neuron,"(27, 127)",0.76628125
20270,Celegan,Coelomocytes,"(28, 34)",0.68118054
20271,Celegan,Germ,"(28, 34)",0.5880364
20272,Celegan,Intestine,"(28, 34)",0.5826107
20284,Celegan,Neuron,"(28, 39)",0.5713799
20295,Celegan,Non-seam,"(28, 44)",0.82086027
20304,Celegan,Neuron,"(28, 49)",0.8027266
20324,Celegan,Neuron,"(28, 53)",0.8743796
20354,Celegan,Neuron,"(28, 58)",0.94097453
20370,Celegan,Coelomocytes,"(28, 60)",0.7257639
20371,Celegan,Germ,"(28, 60)",0.78286934
20372,Celegan,Intestine,"(28, 60)",0.7607083
20384,Celegan,Neuron,"(28, 63)",0.93416977
20394,Celegan,Neuron,"(28, 64)",0.5171082
20414,Celegan,Neuron,"(28, 68)",0.5591968
20434,Celegan,Neuron,"(28, 71)",0.8694959000000001
20443,Celegan,Muscle,"(28, 73)",0.523243
20454,Celegan,Neuron,"(28, 75)",0.8266261
20464,Celegan,Neuron,"(28, 78)",0.7149336
20484,Celegan,Neuron,"(28, 91)",0.9448018
20495,Celegan,Non-seam,"(28, 92)",1.2427700000000002
20514,Celegan,Neuron,"(28, 96)",0.54720384
20524,Celegan,Neuron,"(28, 100)",0.89836466
20545,Celegan,Non-seam,"(28, 104)",1.1310528999999998
20554,Celegan,Neuron,"(28, 107)",0.5593474
20565,Celegan,Non-seam,"(28, 112)",1.0535078000000002
20574,Celegan,Neuron,"(28, 113)",0.7937956
20584,Celegan,Neuron,"(28, 116)",0.9090393
20594,Celegan,Neuron,"(28, 119)",0.9177829
20604,Celegan,Neuron,"(28, 121)",0.9338478000000001
20615,Celegan,Non-seam,"(28, 122)",1.2435162
20624,Celegan,Neuron,"(28, 124)",0.60690635
20644,Celegan,Neuron,"(29, 54)",0.60824686
20655,Celegan,Non-seam,"(29, 59)",1.4097263999999998
20656,Celegan,Pharyn,"(29, 59)",0.83347803
20659,Celegan,Seam,"(29, 59)",0.51481026
20665,Celegan,Non-seam,"(29, 60)",1.3859306999999998
20666,Celegan,Pharyn,"(29, 60)",0.76651394
20695,Celegan,Non-seam,"(29, 73)",0.7846305
20705,Celegan,Non-seam,"(29, 92)",1.3468921999999999
20706,Celegan,Pharyn,"(29, 92)",0.59960085
20714,Celegan,Neuron,"(29, 94)",0.6322918000000001
20717,Celegan,Precursors,"(29, 94)",0.70965105
20718,Celegan,Rectum,"(29, 94)",0.63469476
20725,Celegan,Non-seam,"(29, 104)",0.6305436
20734,Celegan,Neuron,"(29, 107)",0.7458726999999999
20736,Celegan,Pharyn,"(29, 107)",0.5450278000000001
20737,Celegan,Precursors,"(29, 107)",1.5377809
20738,Celegan,Rectum,"(29, 107)",1.4843936000000002
20739,Celegan,Seam,"(29, 107)",0.6926305
20745,Celegan,Non-seam,"(29, 112)",1.2457458000000001
20755,Celegan,Non-seam,"(29, 122)",1.272591
20760,Celegan,Coelomocytes,"(30, 34)",0.7669722
20761,Celegan,Germ,"(30, 34)",0.68217117
20762,Celegan,Intestine,"(30, 34)",0.5939489
20805,Celegan,Non-seam,"(30, 44)",0.83334446
20824,Celegan,Neuron,"(30, 49)",0.96882504
20834,Celegan,Neuron,"(30, 51)",0.9223596
20844,Celegan,Neuron,"(30, 52)",0.99251443
20854,Celegan,Neuron,"(30, 53)",0.52219635
20860,Celegan,Coelomocytes,"(30, 54)",0.8423885
20861,Celegan,Germ,"(30, 54)",0.72575766
20862,Celegan,Intestine,"(30, 54)",0.7552526999999999
20868,Celegan,Rectum,"(30, 54)",0.5302675
20870,Celegan,Coelomocytes,"(30, 55)",0.5518086
20871,Celegan,Germ,"(30, 55)",0.5234721
20884,Celegan,Neuron,"(30, 57)",0.7059536999999999
20894,Celegan,Neuron,"(30, 58)",0.53540874
20900,Celegan,Coelomocytes,"(30, 59)",0.74999386
20901,Celegan,Germ,"(30, 59)",0.67762583
20902,Celegan,Intestine,"(30, 59)",0.64648944
20915,Celegan,Non-seam,"(30, 60)",0.8539402
20916,Celegan,Pharyn,"(30, 60)",0.5403213000000001
20940,Celegan,Coelomocytes,"(30, 66)",0.55291766
20941,Celegan,Germ,"(30, 66)",0.68628234
20942,Celegan,Intestine,"(30, 66)",0.6842015
20970,Celegan,Coelomocytes,"(30, 70)",0.5160385999999999
20971,Celegan,Germ,"(30, 70)",0.59059715
20972,Celegan,Intestine,"(30, 70)",0.5594057
20973,Celegan,Muscle,"(30, 70)",0.5119955
20984,Celegan,Neuron,"(30, 71)",0.57670355
20990,Celegan,Coelomocytes,"(30, 73)",0.6018223
20991,Celegan,Germ,"(30, 73)",0.5339162
20995,Celegan,Non-seam,"(30, 73)",0.7059133000000001
21004,Celegan,Neuron,"(30, 74)",0.8869019
21011,Celegan,Germ,"(30, 75)",0.52631545
21012,Celegan,Intestine,"(30, 75)",0.5324658
21034,Celegan,Neuron,"(30, 79)",0.67177904
21045,Celegan,Non-seam,"(30, 80)",1.1028115
21064,Celegan,Neuron,"(30, 82)",0.8432959999999999
21074,Celegan,Neuron,"(30, 83)",0.8909997
21084,Celegan,Neuron,"(30, 88)",0.71838117
21095,Celegan,Non-seam,"(30, 89)",1.1491798
21105,Celegan,Non-seam,"(30, 90)",0.8967437
21114,Celegan,Neuron,"(30, 91)",0.61897784
21125,Celegan,Non-seam,"(30, 92)",1.1771815
21130,Celegan,Coelomocytes,"(30, 94)",0.78877455
21131,Celegan,Germ,"(30, 94)",0.69202924
21132,Celegan,Intestine,"(30, 94)",0.67336464
21141,Celegan,Germ,"(30, 95)",0.548887
21142,Celegan,Intestine,"(30, 95)",0.53865683
21181,Celegan,Germ,"(30, 102)",0.53908014
21182,Celegan,Intestine,"(30, 102)",0.55851567
21195,Celegan,Non-seam,"(30, 104)",1.1739948
21207,Celegan,Precursors,"(30, 107)",0.6324776999999999
21208,Celegan,Rectum,"(30, 107)",0.6054963000000001
21214,Celegan,Neuron,"(30, 110)",0.91162413
21220,Celegan,Coelomocytes,"(30, 111)",0.5566274
21221,Celegan,Germ,"(30, 111)",0.6007005
21222,Celegan,Intestine,"(30, 111)",0.57674426
21235,Celegan,Non-seam,"(30, 112)",1.0481597
21264,Celegan,Neuron,"(30, 116)",0.5168946
21271,Celegan,Germ,"(30, 117)",0.5562336999999999
21272,Celegan,Intestine,"(30, 117)",0.5730439
21284,Celegan,Neuron,"(30, 118)",0.6890013
21294,Celegan,Neuron,"(30, 119)",0.53180075
21315,Celegan,Non-seam,"(30, 122)",1.2627308000000002
21324,Celegan,Neuron,"(30, 123)",0.8504954
21341,Celegan,Germ,"(30, 126)",0.5089855999999999
21342,Celegan,Intestine,"(30, 126)",0.5003823000000001
21365,Celegan,Non-seam,"(31, 34)",1.1975694
21366,Celegan,Pharyn,"(31, 34)",0.7785395
21376,Celegan,Pharyn,"(31, 37)",0.7992201
21377,Celegan,Precursors,"(31, 37)",1.2209533000000001
21378,Celegan,Rectum,"(31, 37)",1.1617603
21379,Celegan,Seam,"(31, 37)",0.5391263000000001
21384,Celegan,Neuron,"(31, 39)",0.6744318
21386,Celegan,Pharyn,"(31, 39)",0.73694426
21387,Celegan,Precursors,"(31, 39)",1.4209826
21388,Celegan,Rectum,"(31, 39)",1.2561831
21389,Celegan,Seam,"(31, 39)",0.73108935
21405,Celegan,Non-seam,"(31, 44)",1.4376975
21406,Celegan,Pharyn,"(31, 44)",0.810186
21424,Celegan,Neuron,"(31, 49)",0.84348524
21444,Celegan,Neuron,"(31, 53)",0.8242879000000001
21447,Celegan,Precursors,"(31, 53)",0.80057824
21448,Celegan,Rectum,"(31, 53)",0.7720352
21457,Celegan,Precursors,"(31, 54)",1.2957916
21458,Celegan,Rectum,"(31, 54)",1.2796290000000001
21459,Celegan,Seam,"(31, 54)",0.6351404
21484,Celegan,Neuron,"(31, 58)",0.7083941
21487,Celegan,Precursors,"(31, 58)",1.4378147
21488,Celegan,Rectum,"(31, 58)",1.4030418
21489,Celegan,Seam,"(31, 58)",0.5828111
21495,Celegan,Non-seam,"(31, 59)",0.828261
21496,Celegan,Pharyn,"(31, 59)",1.1694428999999997
21497,Celegan,Precursors,"(31, 59)",1.3756841
21498,Celegan,Rectum,"(31, 59)",1.2591125
21499,Celegan,Seam,"(31, 59)",0.9233941999999999
21505,Celegan,Non-seam,"(31, 60)",1.0168099
21506,Celegan,Pharyn,"(31, 60)",1.0297982
21507,Celegan,Precursors,"(31, 60)",1.0285983
21508,Celegan,Rectum,"(31, 60)",0.9438443000000001
21509,Celegan,Seam,"(31, 60)",0.73749214
21514,Celegan,Neuron,"(31, 63)",0.5763505
21516,Celegan,Pharyn,"(31, 63)",0.93673605
21517,Celegan,Precursors,"(31, 63)",1.4816274999999999
21518,Celegan,Rectum,"(31, 63)",1.4472173000000002
21519,Celegan,Seam,"(31, 63)",0.90950173
21525,Celegan,Non-seam,"(31, 64)",0.51483923
21526,Celegan,Pharyn,"(31, 64)",1.2016954
21527,Celegan,Precursors,"(31, 64)",1.6371931
21528,Celegan,Rectum,"(31, 64)",1.5162573000000001
21529,Celegan,Seam,"(31, 64)",1.0351157
21531,Celegan,Germ,"(31, 66)",0.51009804
21544,Celegan,Neuron,"(31, 68)",0.6746373999999999
21546,Celegan,Pharyn,"(31, 68)",0.54111356
21547,Celegan,Precursors,"(31, 68)",1.2415078000000002
21548,Celegan,Rectum,"(31, 68)",1.1658098
21549,Celegan,Seam,"(31, 68)",0.65413296
21555,Celegan,Non-seam,"(31, 70)",1.4881924
21556,Celegan,Pharyn,"(31, 70)",0.96788484
21559,Celegan,Seam,"(31, 70)",0.54937524
21564,Celegan,Neuron,"(31, 71)",0.8106591
21567,Celegan,Precursors,"(31, 71)",0.9988101
21568,Celegan,Rectum,"(31, 71)",0.9832685
21575,Celegan,Non-seam,"(31, 73)",1.4055704
21576,Celegan,Pharyn,"(31, 73)",0.8601281
21596,Celegan,Pharyn,"(31, 75)",0.567284
21597,Celegan,Precursors,"(31, 75)",0.95250905
21598,Celegan,Rectum,"(31, 75)",0.7929343000000001
21604,Celegan,Neuron,"(31, 78)",0.7473599
21607,Celegan,Precursors,"(31, 78)",0.80370706
21608,Celegan,Rectum,"(31, 78)",0.78399813
21615,Celegan,Non-seam,"(31, 80)",1.271403
21626,Celegan,Pharyn,"(31, 81)",1.2162302
21627,Celegan,Precursors,"(31, 81)",1.8811586
21628,Celegan,Rectum,"(31, 81)",1.8200517
21629,Celegan,Seam,"(31, 81)",1.0440605
21635,Celegan,Non-seam,"(31, 89)",1.5685759
21636,Celegan,Pharyn,"(31, 89)",0.5502873
21645,Celegan,Non-seam,"(31, 90)",1.5793575
21646,Celegan,Pharyn,"(31, 90)",0.96889436
21654,Celegan,Neuron,"(31, 91)",0.9136953999999999
21657,Celegan,Precursors,"(31, 91)",1.0484607
21658,Celegan,Rectum,"(31, 91)",1.0563486999999998
21665,Celegan,Non-seam,"(31, 92)",1.3197647
21666,Celegan,Pharyn,"(31, 92)",0.8971805
21667,Celegan,Precursors,"(31, 92)",0.57955587
21669,Celegan,Seam,"(31, 92)",0.5368118000000001
21676,Celegan,Pharyn,"(31, 94)",0.5870010999999999
21677,Celegan,Precursors,"(31, 94)",1.3954663999999999
21678,Celegan,Rectum,"(31, 94)",1.3145512
21679,Celegan,Seam,"(31, 94)",0.6403002
21685,Celegan,Non-seam,"(31, 95)",1.2503351
21695,Celegan,Non-seam,"(31, 96)",0.52315027
21696,Celegan,Pharyn,"(31, 96)",1.1443021999999998
21697,Celegan,Precursors,"(31, 96)",1.5198812
21698,Celegan,Rectum,"(31, 96)",1.3365543
21699,Celegan,Seam,"(31, 96)",0.9234616
21706,Celegan,Pharyn,"(31, 98)",1.0717676
21707,Celegan,Precursors,"(31, 98)",1.5732247
21708,Celegan,Rectum,"(31, 98)",1.4596347
21709,Celegan,Seam,"(31, 98)",0.7756026
21715,Celegan,Non-seam,"(31, 100)",0.8576261999999999
21716,Celegan,Pharyn,"(31, 100)",1.3080713
21717,Celegan,Precursors,"(31, 100)",1.5604358
21718,Celegan,Rectum,"(31, 100)",1.4558775
21719,Celegan,Seam,"(31, 100)",1.073675
21735,Celegan,Non-seam,"(31, 104)",1.4131032
21736,Celegan,Pharyn,"(31, 104)",0.7135049
21746,Celegan,Pharyn,"(31, 107)",0.65684056
21747,Celegan,Precursors,"(31, 107)",1.4998917999999999
21748,Celegan,Rectum,"(31, 107)",1.4200540000000001
21749,Celegan,Seam,"(31, 107)",0.72675973
21755,Celegan,Non-seam,"(31, 111)",1.3550951
21765,Celegan,Non-seam,"(31, 112)",1.2497935
21766,Celegan,Pharyn,"(31, 112)",0.6654774999999999
21774,Celegan,Neuron,"(31, 113)",0.75285536
21777,Celegan,Precursors,"(31, 113)",0.775367
21778,Celegan,Rectum,"(31, 113)",0.76977473
21784,Celegan,Neuron,"(31, 116)",0.8367559000000001
21788,Celegan,Rectum,"(31, 116)",0.6132637
21804,Celegan,Neuron,"(31, 119)",0.7329104999999999
21806,Celegan,Pharyn,"(31, 119)",0.5281165
21807,Celegan,Precursors,"(31, 119)",1.3848498
21808,Celegan,Rectum,"(31, 119)",1.3282707
21809,Celegan,Seam,"(31, 119)",0.6248020000000001
21815,Celegan,Non-seam,"(31, 121)",0.8546334000000001
21816,Celegan,Pharyn,"(31, 121)",1.3262063
21817,Celegan,Precursors,"(31, 121)",1.598643
21818,Celegan,Rectum,"(31, 121)",1.5122479
21819,Celegan,Seam,"(31, 121)",1.0864619
21825,Celegan,Non-seam,"(31, 122)",1.4335426000000002
21826,Celegan,Pharyn,"(31, 122)",0.7417355999999999
21836,Celegan,Pharyn,"(31, 124)",0.8750667
21837,Celegan,Precursors,"(31, 124)",1.5908247
21838,Celegan,Rectum,"(31, 124)",1.4802799999999998
21839,Celegan,Seam,"(31, 124)",0.7741110999999999
21845,Celegan,Non-seam,"(31, 126)",1.5436963
21854,Celegan,Neuron,"(31, 127)",0.60697585
21864,Celegan,Neuron,"(32, 54)",0.6380835
21874,Celegan,Neuron,"(32, 59)",0.88662267
21884,Celegan,Neuron,"(32, 60)",0.78928196
21895,Celegan,Non-seam,"(32, 92)",1.4850162
21896,Celegan,Pharyn,"(32, 92)",1.0644176
21897,Celegan,Precursors,"(32, 92)",0.6790735999999999
21898,Celegan,Rectum,"(32, 92)",0.51587415
21899,Celegan,Seam,"(32, 92)",0.6256889
21904,Celegan,Neuron,"(32, 94)",0.8933034
21924,Celegan,Neuron,"(32, 107)",0.9673941999999999
21935,Celegan,Non-seam,"(32, 112)",0.9759173000000001
21954,Celegan,Neuron,"(33, 54)",0.66139686
21965,Celegan,Non-seam,"(33, 59)",1.5759484
21966,Celegan,Pharyn,"(33, 59)",1.0641513
21967,Celegan,Precursors,"(33, 59)",0.6493536
21968,Celegan,Rectum,"(33, 59)",0.5846471999999999
21969,Celegan,Seam,"(33, 59)",0.6091441
21975,Celegan,Non-seam,"(33, 60)",1.2813451999999999
21976,Celegan,Pharyn,"(33, 60)",0.8316388000000001
21979,Celegan,Seam,"(33, 60)",0.50034195
21995,Celegan,Non-seam,"(33, 92)",1.4824357
21996,Celegan,Pharyn,"(33, 92)",0.65174955
22007,Celegan,Precursors,"(33, 94)",1.09184
22008,Celegan,Rectum,"(33, 94)",1.0489786
22026,Celegan,Pharyn,"(33, 107)",1.0457383
22027,Celegan,Precursors,"(33, 107)",1.9488431
22028,Celegan,Rectum,"(33, 107)",1.9454035
22029,Celegan,Seam,"(33, 107)",0.7172361999999999
22035,Celegan,Non-seam,"(33, 112)",1.2637563
22045,Celegan,Non-seam,"(33, 122)",1.0384657
22055,Celegan,Non-seam,"(34, 36)",0.7077001
22060,Celegan,Coelomocytes,"(34, 37)",0.75225455
22061,Celegan,Germ,"(34, 37)",0.56504434
22075,Celegan,Non-seam,"(34, 38)",0.8166346999999999
22076,Celegan,Pharyn,"(34, 38)",0.62665296
22080,Celegan,Coelomocytes,"(34, 39)",0.64470947
22085,Celegan,Non-seam,"(34, 39)",0.70688903
22095,Celegan,Non-seam,"(34, 40)",1.1556524
22100,Celegan,Coelomocytes,"(34, 42)",0.5136028
22105,Celegan,Non-seam,"(34, 42)",0.8907537
22110,Celegan,Coelomocytes,"(34, 43)",1.0022584
22111,Celegan,Germ,"(34, 43)",0.65736574
22125,Celegan,Non-seam,"(34, 44)",1.2393003
22135,Celegan,Non-seam,"(34, 45)",1.2386056
22140,Celegan,Coelomocytes,"(34, 46)",0.50923574
22145,Celegan,Non-seam,"(34, 46)",0.7531564000000001
22154,Celegan,Neuron,"(34, 49)",0.6755391
22165,Celegan,Non-seam,"(34, 51)",0.6136252
22174,Celegan,Neuron,"(34, 52)",0.7270194000000001
22180,Celegan,Coelomocytes,"(34, 53)",0.64267033
22190,Celegan,Coelomocytes,"(34, 54)",0.6324563
22197,Celegan,Precursors,"(34, 54)",0.6755647
22198,Celegan,Rectum,"(34, 54)",0.7105114
22205,Celegan,Non-seam,"(34, 55)",0.996984
22210,Celegan,Coelomocytes,"(34, 56)",0.627691
22215,Celegan,Non-seam,"(34, 56)",0.77253205
22220,Celegan,Coelomocytes,"(34, 57)",0.6011905
22230,Celegan,Coelomocytes,"(34, 58)",0.9252491
22231,Celegan,Germ,"(34, 58)",0.65468585
22245,Celegan,Non-seam,"(34, 59)",1.070972
22246,Celegan,Pharyn,"(34, 59)",0.6782625
22255,Celegan,Non-seam,"(34, 60)",1.0741163
22256,Celegan,Pharyn,"(34, 60)",0.68992215
22275,Celegan,Non-seam,"(34, 63)",0.6602670999999999
22285,Celegan,Non-seam,"(34, 64)",1.1417024
22286,Celegan,Pharyn,"(34, 64)",0.74280965
22300,Celegan,Coelomocytes,"(34, 66)",0.9057212
22301,Celegan,Germ,"(34, 66)",0.7223470000000001
22302,Celegan,Intestine,"(34, 66)",0.6596076
22314,Celegan,Neuron,"(34, 67)",0.91662323
22320,Celegan,Coelomocytes,"(34, 68)",0.5667183000000001
22325,Celegan,Non-seam,"(34, 68)",0.8417696
22335,Celegan,Non-seam,"(34, 69)",0.94979703
22345,Celegan,Non-seam,"(34, 70)",1.0349098
22354,Celegan,Neuron,"(34, 71)",0.5406135999999999
22365,Celegan,Non-seam,"(34, 73)",1.1573969
22374,Celegan,Neuron,"(34, 74)",0.7927793000000001
22380,Celegan,Coelomocytes,"(34, 75)",0.80933446
22381,Celegan,Germ,"(34, 75)",0.6967808000000001
22382,Celegan,Intestine,"(34, 75)",0.607329
22395,Celegan,Non-seam,"(34, 76)",1.0548271999999999
22407,Celegan,Precursors,"(34, 77)",0.9248548000000001
22408,Celegan,Rectum,"(34, 77)",1.2476768
22410,Celegan,Coelomocytes,"(34, 78)",0.8223369
22411,Celegan,Germ,"(34, 78)",0.697864
22412,Celegan,Intestine,"(34, 78)",0.5966071999999999
22424,Celegan,Neuron,"(34, 79)",0.6318275
22435,Celegan,Non-seam,"(34, 80)",1.3392295
22436,Celegan,Pharyn,"(34, 80)",0.5290451999999999
22440,Celegan,Coelomocytes,"(34, 81)",0.705511
22441,Celegan,Germ,"(34, 81)",0.52670836
22450,Celegan,Coelomocytes,"(34, 82)",0.5982478
22455,Celegan,Non-seam,"(34, 82)",0.6852272
22470,Celegan,Coelomocytes,"(34, 84)",0.5959083000000001
22484,Celegan,Neuron,"(34, 85)",0.6232299
22500,Celegan,Coelomocytes,"(34, 88)",0.75986373
22515,Celegan,Non-seam,"(34, 89)",1.2180083000000002
22525,Celegan,Non-seam,"(34, 90)",1.2920208999999998
22534,Celegan,Neuron,"(34, 91)",0.6161221
22545,Celegan,Non-seam,"(34, 92)",1.2021981000000002
22546,Celegan,Pharyn,"(34, 92)",0.63209075
22550,Celegan,Coelomocytes,"(34, 94)",0.57677615
22556,Celegan,Pharyn,"(34, 94)",0.5323663000000001
22557,Celegan,Precursors,"(34, 94)",0.63317513
22558,Celegan,Rectum,"(34, 94)",0.60882664
22565,Celegan,Non-seam,"(34, 95)",0.72650313
22575,Celegan,Non-seam,"(34, 96)",1.0538589
22590,Celegan,Coelomocytes,"(34, 98)",0.5022199
22595,Celegan,Non-seam,"(34, 98)",0.93268824
22605,Celegan,Non-seam,"(34, 100)",1.2307531999999999
22620,Celegan,Coelomocytes,"(34, 102)",0.6813678000000001
22621,Celegan,Germ,"(34, 102)",0.7352098000000001
22622,Celegan,Intestine,"(34, 102)",0.7170032
22635,Celegan,Non-seam,"(34, 104)",1.2708062
22645,Celegan,Non-seam,"(34, 105)",1.1299649999999999
22665,Celegan,Non-seam,"(34, 107)",0.5037162000000001
22666,Celegan,Pharyn,"(34, 107)",0.7277594000000001
22667,Celegan,Precursors,"(34, 107)",0.93901795
22668,Celegan,Rectum,"(34, 107)",0.8869241
22669,Celegan,Seam,"(34, 107)",0.5817465
22670,Celegan,Coelomocytes,"(34, 110)",0.60579044
22685,Celegan,Non-seam,"(34, 111)",0.94346464
22695,Celegan,Non-seam,"(34, 112)",1.0862987
22696,Celegan,Pharyn,"(34, 112)",0.5719284
22714,Celegan,Neuron,"(34, 114)",0.93597573
22721,Celegan,Germ,"(34, 116)",0.5027729000000001
22730,Celegan,Coelomocytes,"(34, 117)",0.5574965000000001
22735,Celegan,Non-seam,"(34, 117)",0.8599621999999999
22743,Celegan,Muscle,"(34, 118)",0.5280066
22750,Celegan,Coelomocytes,"(34, 119)",0.702272
22751,Celegan,Germ,"(34, 119)",0.52585113
22775,Celegan,Non-seam,"(34, 121)",1.2102509
22785,Celegan,Non-seam,"(34, 122)",1.2981187
22786,Celegan,Pharyn,"(34, 122)",0.5259121
22790,Celegan,Coelomocytes,"(34, 123)",0.86291546
22800,Celegan,Coelomocytes,"(34, 124)",0.51491493
22805,Celegan,Non-seam,"(34, 124)",0.77036875
22806,Celegan,Pharyn,"(34, 124)",0.5337196999999999
22815,Celegan,Non-seam,"(34, 125)",1.1294674
22825,Celegan,Non-seam,"(34, 126)",0.95298266
22830,Celegan,Coelomocytes,"(34, 127)",1.1293643999999998
22831,Celegan,Germ,"(34, 127)",0.92175394
22832,Celegan,Intestine,"(34, 127)",0.85841745
22844,Celegan,Neuron,"(35, 39)",0.71087843
22854,Celegan,Neuron,"(35, 54)",0.58268684
22864,Celegan,Neuron,"(35, 59)",0.8180337
22867,Celegan,Precursors,"(35, 59)",0.8202008
22868,Celegan,Rectum,"(35, 59)",0.72252613
22876,Celegan,Pharyn,"(35, 60)",0.65757775
22877,Celegan,Precursors,"(35, 60)",1.3439212
22878,Celegan,Rectum,"(35, 60)",1.1293904
22879,Celegan,Seam,"(35, 60)",0.53369397
22884,Celegan,Neuron,"(35, 64)",0.8936945
22887,Celegan,Precursors,"(35, 64)",0.8232514999999999
22888,Celegan,Rectum,"(35, 64)",0.7864298000000001
22894,Celegan,Neuron,"(35, 66)",0.88029015
22904,Celegan,Neuron,"(35, 68)",0.9927475
22914,Celegan,Neuron,"(35, 70)",0.67677456
22935,Celegan,Non-seam,"(35, 73)",0.8000769
22944,Celegan,Neuron,"(35, 78)",0.84836096
22955,Celegan,Non-seam,"(35, 92)",1.2108148
22956,Celegan,Pharyn,"(35, 92)",0.77280605
22964,Celegan,Neuron,"(35, 94)",0.7474975
22984,Celegan,Neuron,"(35, 102)",0.92898476
22995,Celegan,Non-seam,"(35, 104)",1.4634693
23004,Celegan,Neuron,"(35, 107)",0.8100175000000001
23007,Celegan,Precursors,"(35, 107)",0.62368166
23008,Celegan,Rectum,"(35, 107)",0.5956403
23015,Celegan,Non-seam,"(35, 112)",1.1787216999999999
23025,Celegan,Non-seam,"(35, 122)",1.3974669
