,Cluster,Motif,Influe
367,Erythrocruorin,Motif_93,-0.72975194
368,Germ,Motif_93,0.3563536
369,Muscle,Motif_93,0.60884994
370,Neuron,Motif_93,-0.064781226
371,Coelomocytes,Motif_94,-0.04845135
372,DigestiveGland,Motif_94,1.9999549
373,Epithelial,Motif_94,-0.009653876
374,Erythrocruorin,Motif_94,0.7383483
375,Germ,Motif_94,-0.22326542
376,Muscle,Motif_94,-0.92334634
377,Neuron,Motif_94,0.27960822
378,Coelomocytes,Motif_95,-0.019379811
379,DigestiveGland,Motif_95,-0.019379811
380,Epithelial,Motif_95,0.0035732384
381,Erythrocruorin,Motif_95,-0.019379811
382,Germ,Motif_95,-0.019379811
383,Muscle,Motif_95,-0.019379811
384,Neuron,Motif_95,-0.019379811
385,Coelomocytes,Motif_96,-0.36088026
386,DigestiveGland,Motif_96,1.9849038
387,Epithelial,Motif_96,-0.36088026
388,Erythrocruorin,Motif_96,-0.36088026
389,Germ,Motif_96,-0.36088026
390,Muscle,Motif_96,-0.36088026
391,Neuron,Motif_96,-0.36088026
392,Coelomocytes,Motif_97,-0.29945448
393,DigestiveGland,Motif_97,1.4436865
394,Epithelial,Motif_97,-0.29945448
395,Erythrocruorin,Motif_97,-0.29945448
396,Germ,Motif_97,-0.29945448
397,Muscle,Motif_97,-0.29945448
398,Neuron,Motif_97,-0.29945448
399,Coelomocytes,Motif_99,-0.20058736
400,DigestiveGland,Motif_99,0.69875747
401,Epithelial,Motif_99,-0.20058736
402,Erythrocruorin,Motif_99,-0.20058736
403,Germ,Motif_99,-0.20058736
404,Muscle,Motif_99,-0.20058736
405,Neuron,Motif_99,-0.20058736
406,Coelomocytes,Motif_102,-0.30355817
407,DigestiveGland,Motif_102,-1.2961391
408,Epithelial,Motif_102,-0.34579715
409,Erythrocruorin,Motif_102,-1.2961391
410,Germ,Motif_102,0.169358
411,Muscle,Motif_102,1.1390514
412,Neuron,Motif_102,-0.88338995
413,Coelomocytes,Motif_103,0.06417933
414,DigestiveGland,Motif_103,1.9918661
415,Epithelial,Motif_103,0.104560986
416,Erythrocruorin,Motif_103,0.80049753
417,Germ,Motif_103,-0.16942975
418,Muscle,Motif_103,-1.0542623
419,Neuron,Motif_103,0.4465726
420,Coelomocytes,Motif_104,0.22280087
421,DigestiveGland,Motif_104,-2.0
422,Epithelial,Motif_104,0.049104802
423,Erythrocruorin,Motif_104,-1.1532587
424,Germ,Motif_104,0.38037047
425,Muscle,Motif_104,0.67515117
426,Neuron,Motif_104,-0.24755807
427,Coelomocytes,Motif_106,0.30983108
428,DigestiveGland,Motif_106,1.5589767
429,Epithelial,Motif_106,0.16619399
430,Erythrocruorin,Motif_106,0.09261106
431,Germ,Motif_106,0.02356614
432,Muscle,Motif_106,-1.2288485
433,Neuron,Motif_106,0.43534106
434,Coelomocytes,Motif_110,0.077417634
435,DigestiveGland,Motif_110,-2.0
436,Epithelial,Motif_110,-0.09560642
437,Erythrocruorin,Motif_110,-1.704249
438,Germ,Motif_110,0.3137751
439,Muscle,Motif_110,0.88189304
440,Neuron,Motif_110,-0.5774512
441,Coelomocytes,Motif_111,0.31753176
442,DigestiveGland,Motif_111,-1.9999341
443,Epithelial,Motif_111,0.2057504
444,Erythrocruorin,Motif_111,-0.51622945
445,Germ,Motif_111,0.31794086
446,Muscle,Motif_111,0.5453608
447,Neuron,Motif_111,0.06392344
448,Coelomocytes,Motif_112,-0.040364843
449,DigestiveGland,Motif_112,-1.9279754
450,Epithelial,Motif_112,-0.18817492
451,Erythrocruorin,Motif_112,-1.8997061
452,Germ,Motif_112,0.29670265
453,Muscle,Motif_112,0.9842381
454,Neuron,Motif_112,-0.77491087
455,Coelomocytes,Motif_114,-0.42258343
456,DigestiveGland,Motif_114,2.0
457,Epithelial,Motif_114,0.055792548
458,Erythrocruorin,Motif_114,1.1813694
459,Germ,Motif_114,-0.14741613
460,Muscle,Motif_114,-0.5617255
461,Neuron,Motif_114,0.16357289
462,Coelomocytes,Motif_115,-0.30956423
463,DigestiveGland,Motif_115,-0.30956423
464,Epithelial,Motif_115,-0.28785023
465,Erythrocruorin,Motif_115,-0.30956423
466,Germ,Motif_115,-0.30956423
467,Muscle,Motif_115,0.5086519
468,Neuron,Motif_115,-0.30638522
469,Coelomocytes,Motif_117,-0.46471873
470,DigestiveGland,Motif_117,-0.5996178
471,Epithelial,Motif_117,-0.42633352
472,Erythrocruorin,Motif_117,-0.5996178
