,Celltype,Motif,Influe
339,EarthWorm5,Motif_59,0.0
340,EarthWorm8,Motif_59,1.0
341,EarthWorm11,Motif_64,1.0
342,EarthWorm17,Motif_64,1.0
343,EarthWorm19,Motif_64,1.0
344,EarthWorm21,Motif_64,0.0
345,EarthWorm23,Motif_64,1.0
346,EarthWorm27,Motif_64,0.0
347,EarthWorm28,Motif_64,0.0
348,EarthWorm29,Motif_64,0.0
349,EarthWorm4,Motif_64,0.0
350,EarthWorm5,Motif_64,0.0
351,EarthWorm8,Motif_64,0.0
352,EarthWorm11,Motif_66,0.0
353,EarthWorm17,Motif_66,0.0
354,EarthWorm19,Motif_66,0.0
355,EarthWorm21,Motif_66,1.0
356,EarthWorm23,Motif_66,0.0
357,EarthWorm27,Motif_66,1.0
358,EarthWorm28,Motif_66,1.0
359,EarthWorm29,Motif_66,1.0
360,EarthWorm4,Motif_66,0.0
361,EarthWorm5,Motif_66,1.0
362,EarthWorm8,Motif_66,0.0
363,EarthWorm11,Motif_68,0.0
364,EarthWorm17,Motif_68,0.0
365,EarthWorm19,Motif_68,0.0
366,EarthWorm21,Motif_68,0.0
367,EarthWorm23,Motif_68,0.0
368,EarthWorm27,Motif_68,0.0
369,EarthWorm28,Motif_68,0.0
370,EarthWorm29,Motif_68,0.0
371,EarthWorm4,Motif_68,0.0
372,EarthWorm5,Motif_68,1.0
373,EarthWorm8,Motif_68,0.0
374,EarthWorm11,Motif_69,1.0
375,EarthWorm17,Motif_69,1.0
376,EarthWorm19,Motif_69,1.0
377,EarthWorm21,Motif_69,0.0
378,EarthWorm23,Motif_69,1.0
379,EarthWorm27,Motif_69,0.0
380,EarthWorm28,Motif_69,0.0
381,EarthWorm29,Motif_69,0.0
382,EarthWorm4,Motif_69,1.0
383,EarthWorm5,Motif_69,0.0
384,EarthWorm8,Motif_69,0.0
385,EarthWorm11,Motif_70,0.0
386,EarthWorm17,Motif_70,0.0
387,EarthWorm19,Motif_70,0.0
388,EarthWorm21,Motif_70,1.0
389,EarthWorm23,Motif_70,0.0
390,EarthWorm27,Motif_70,0.0
391,EarthWorm28,Motif_70,1.0
392,EarthWorm29,Motif_70,0.0
393,EarthWorm4,Motif_70,0.0
394,EarthWorm5,Motif_70,1.0
395,EarthWorm8,Motif_70,0.0
396,EarthWorm11,Motif_71,1.0
397,EarthWorm17,Motif_71,1.0
398,EarthWorm19,Motif_71,0.0
399,EarthWorm21,Motif_71,0.0
