,Cluster,Motif,Influe
296,Pharyn,Motif_53,-0.6689788
297,Precursors,Motif_53,0.07726535
298,Rectum,Motif_53,-0.025789436
299,Seam,Motif_53,-0.061534565
300,Coelomocytes,Motif_54,0.702708
301,Germ,Motif_54,0.28600448
302,Intestine,Motif_54,0.017477088
303,Muscle,Motif_54,-0.06540698
304,Neuron,Motif_54,-0.39414012
305,Non-seam,Motif_54,0.7319491
306,Pharyn,Motif_54,0.5861341
307,Precursors,Motif_54,-0.27841604
308,Rectum,Motif_54,0.2757672
309,Seam,Motif_54,-0.15004852
310,Coelomocytes,Motif_55,-0.22360219
311,Germ,Motif_55,-0.3303095
312,Intestine,Motif_55,-0.35833484
313,Muscle,Motif_55,0.09784325
314,Neuron,Motif_55,-0.38787326
315,Non-seam,Motif_55,0.91072977
316,Pharyn,Motif_55,0.2099798
317,Precursors,Motif_55,-0.42958164
318,Rectum,Motif_55,-0.43270755
319,Seam,Motif_55,-0.09054249
320,Coelomocytes,Motif_57,-0.10414345
321,Germ,Motif_57,0.005872354
322,Intestine,Motif_57,0.15576985
323,Muscle,Motif_57,0.19056939
324,Neuron,Motif_57,0.7116942
325,Non-seam,Motif_57,-1.265237
326,Pharyn,Motif_57,-0.79747665
327,Precursors,Motif_57,-0.5458952
328,Rectum,Motif_57,-0.40807855
329,Seam,Motif_57,-0.59348273
330,Coelomocytes,Motif_58,-0.282409
331,Germ,Motif_58,-0.16715467
332,Intestine,Motif_58,0.093910955
333,Muscle,Motif_58,0.07244329
334,Neuron,Motif_58,0.65733135
335,Non-seam,Motif_58,-1.2519182
336,Pharyn,Motif_58,-0.5123438
337,Precursors,Motif_58,0.16312832
338,Rectum,Motif_58,0.17982927
339,Seam,Motif_58,-0.0859089
340,Coelomocytes,Motif_59,0.4707703
341,Germ,Motif_59,0.24506328
342,Intestine,Motif_59,-0.09299428
343,Muscle,Motif_59,-0.15375797
344,Neuron,Motif_59,-0.16889383
345,Non-seam,Motif_59,0.7712326
346,Pharyn,Motif_59,0.66840744
347,Precursors,Motif_59,0.09012344
